"","page","pathlength","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","1",112064,"",""
"47","Areas with Zika | Zika virus | CDC","52",66,"",""
"48","Areas with Zika | Zika virus | CDC","51",61,"",""
"49","Areas with Zika | Zika virus | CDC","48",57,"",""
"50","Areas with Zika | Zika virus | CDC","59",49,"",""
"51","Areas with Zika | Zika virus | CDC","49",48,"",""
"52","Areas with Zika | Zika virus | CDC","53",45,"",""
"53","Areas with Zika | Zika virus | CDC","46",44,"",""
"54","Areas with Zika | Zika virus | CDC","50",41,"",""
"55","Areas with Zika | Zika virus | CDC","67",31,"",""
"56","Areas with Zika | Zika virus | CDC","55",31,"",""
"57","Areas with Zika | Zika virus | CDC","56",27,"",""
"58","Areas with Zika | Zika virus | CDC","57",22,"",""
"59","Areas with Zika | Zika virus | CDC","54",21,"",""
"60","Areas with Zika | Zika virus | CDC","61",19,"",""
"61","Areas with Zika | Zika virus | CDC","60",19,"",""
"62","Areas with Zika | Zika virus | CDC","70",18,"",""
"63","Areas with Zika | Zika virus | CDC","66",17,"",""
"64","Areas with Zika | Zika virus | CDC","77",16,"",""
"65","Areas with Zika | Zika virus | CDC","131",15,"",""
"66","Areas with Zika | Zika virus | CDC","93",15,"",""
"67","Areas with Zika | Zika virus | CDC","83",14,"",""
"68","Areas with Zika | Zika virus | CDC","78",14,"",""
"69","Areas with Zika | Zika virus | CDC","129",12,"",""
"70","Areas with Zika | Zika virus | CDC","76",12,"",""
"71","Areas with Zika | Zika virus | CDC","114",11,"",""
"72","Areas with Zika | Zika virus | CDC","100",11,"",""
"73","Areas with Zika | Zika virus | CDC","92",11,"",""
"74","Areas with Zika | Zika virus | CDC","82",11,"",""
"75","Areas with Zika | Zika virus | CDC","69",11,"",""
"76","Areas with Zika | Zika virus | CDC","63",11,"",""
"77","Areas with Zika | Zika virus | CDC","134",9,"",""
"78","Areas with Zika | Zika virus | CDC","86",9,"",""
"79","Areas with Zika | Zika virus | CDC","234",8,"",""
"80","Areas with Zika | Zika virus | CDC","65",8,"",""
"81","Areas with Zika | Zika virus | CDC","62",8,"",""
"82","Areas with Zika | Zika virus | CDC","116",7,"",""
"83","Areas with Zika | Zika virus | CDC","80",7,"",""
"84","Areas with Zika | Zika virus | CDC","73",7,"",""
"85","Areas with Zika | Zika virus | CDC","81",5,"",""
"86","Areas with Zika | Zika virus | CDC","123",4,"",""
"87","Areas with Zika | Zika virus | CDC","104",4,"",""
"88","Areas with Zika | Zika virus | CDC","94",4,"",""
"89","Areas with Zika | Zika virus | CDC","85",4,"",""
"90","Areas with Zika | Zika virus | CDC","71",4,"",""
"91","Areas with Zika | Zika virus | CDC","68",4,"",""
"92","Areas with Zika | Zika virus | CDC","64",4,"",""
"93","Areas with Zika | Zika virus | CDC","111",3,"",""
"94","Areas with Zika | Zika virus | CDC","89",3,"",""
"95","Areas with Zika | Zika virus | CDC","143",2,"",""
"96","Areas with Zika | Zika virus | CDC","110",2,"",""
"97","Areas with Zika | Zika virus | CDC","107",2,"",""
"98","Areas with Zika | Zika virus | CDC","106",2,"",""
"99","Areas with Zika | Zika virus | CDC","105",2,"",""
"100","Areas with Zika | Zika virus | CDC","102",2,"",""
"101","Areas with Zika | Zika virus | CDC","96",2,"",""
"102","Areas with Zika | Zika virus | CDC","84",2,"",""
"103","Areas with Zika | Zika virus | CDC","58",2,"",""
"104","Areas with Zika | Zika virus | CDC","1434",1,"",""
"105","Areas with Zika | Zika virus | CDC","158",1,"",""
"106","Areas with Zika | Zika virus | CDC","153",1,"",""
"107","Areas with Zika | Zika virus | CDC","125",1,"",""
"108","Areas with Zika | Zika virus | CDC","117",1,"",""
"109","Areas with Zika | Zika virus | CDC","112",1,"",""
"110","Areas with Zika | Zika virus | CDC","109",1,"",""
"111","Areas with Zika | Zika virus | CDC","103",1,"",""
"112","Areas with Zika | Zika virus | CDC","99",1,"",""
"113","Areas with Zika | Zika virus | CDC","97",1,"",""
"114","Areas with Zika | Zika virus | CDC","95",1,"",""
"115","Areas with Zika | Zika virus | CDC","75",1,"",""
"116","Areas with Zika | Zika virus | CDC","72",1,"",""
"117","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","1",115213,"",""
"118","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","2",34931,"",""
"119","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","3",24980,"",""
"120","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","4",19221,"",""
"121","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","5",17882,"",""
"122","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","6",13620,"",""
"123","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","7",12296,"",""
"124","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","8",9699,"",""
"125","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","9",8508,"",""
"126","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","10",7019,"",""
"127","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","11",6184,"",""
"128","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","12",5029,"",""
"129","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","13",4628,"",""
"130","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","14",3467,"",""
"131","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","15",3464,"",""
"132","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","16",2835,"",""
"133","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","17",2458,"",""
"134","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","18",2079,"",""
"135","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","19",1886,"",""
"136","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","20",1702,"",""
"137","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","21",1564,"",""
"138","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","22",1245,"",""
"139","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","23",1214,"",""
"140","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","25",1016,"",""
"141","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","24",860,"",""
"142","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","27",758,"",""
"143","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","26",710,"",""
"144","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","29",679,"",""
"145","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","28",642,"",""
"146","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","30",544,"",""
"147","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","32",504,"",""
"148","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","37",455,"",""
"149","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","34",422,"",""
"150","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","31",397,"",""
"151","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","33",389,"",""
"152","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","35",312,"",""
"153","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","36",251,"",""
"154","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","41",231,"",""
"155","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","38",213,"",""
"156","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","39",210,"",""
"157","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","40",195,"",""
"158","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","43",193,"",""
"159","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","44",181,"",""
"160","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","42",158,"",""
"161","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","45",140,"",""
"162","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","52",105,"",""
"163","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","47",103,"",""
"164","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","55",95,"",""
"165","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","53",95,"",""
"166","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","48",89,"",""
"167","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","67",84,"",""
"168","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","49",80,"",""
"169","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","46",71,"",""
"170","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","59",70,"",""
"171","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","50",61,"",""
"172","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","111",56,"",""
"173","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","110",54,"",""
"174","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","107",52,"",""
"175","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","105",51,"",""
"176","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","95",47,"",""
"177","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","51",47,"",""
"178","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","82",41,"",""
"179","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","79",39,"",""
"180","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","56",38,"",""
"181","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","66",34,"",""
"182","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","62",30,"",""
"183","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","60",30,"",""
"184","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","54",29,"",""
"185","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","73",25,"",""
"186","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","234",24,"",""
"187","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","78",19,"",""
"188","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","57",19,"",""
"189","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","70",12,"",""
"190","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","63",11,"",""
"191","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","134",10,"",""
"192","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","131",10,"",""
"193","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","86",10,"",""
"194","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","93",9,"",""
"195","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","61",9,"",""
"196","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","92",8,"",""
"197","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","77",7,"",""
"198","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","65",7,"",""
"199","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","76",6,"",""
"200","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","69",6,"",""
"201","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","80",5,"",""
"202","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","129",3,"",""
"203","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","114",3,"",""
"204","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","106",3,"",""
"205","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","97",3,"",""
"206","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","83",3,"",""
"207","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","71",3,"",""
"208","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","1434",2,"",""
"209","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","143",2,"",""
"210","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","116",2,"",""
"211","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","112",2,"",""
"212","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","103",2,"",""
"213","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","100",2,"",""
"214","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","96",2,"",""
"215","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","89",2,"",""
"216","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","75",2,"",""
"217","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","58",2,"",""
"218","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","289",1,"",""
"219","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","208",1,"",""
"220","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","158",1,"",""
"221","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","123",1,"",""
"222","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","102",1,"",""
"223","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","94",1,"",""
"224","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","84",1,"",""
"225","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","81",1,"",""
"226","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","64",1,"",""
"227","Zika Virus | CDC","1",80657,"",""
"228","Zika Virus | CDC","2",20984,"",""
"229","Zika Virus | CDC","3",19775,"",""
"230","Zika Virus | CDC","5",15272,"",""
"231","Zika Virus | CDC","4",13560,"",""
"232","Zika Virus | CDC","7",10856,"",""
"233","Zika Virus | CDC","6",10324,"",""
"234","Zika Virus | CDC","8",7564,"",""
"235","Zika Virus | CDC","9",7383,"",""
"236","Zika Virus | CDC","10",5300,"",""
"237","Zika Virus | CDC","11",5214,"",""
"238","Zika Virus | CDC","12",3751,"",""
"239","Zika Virus | CDC","13",3537,"",""
"240","Zika Virus | CDC","14",2661,"",""
"241","Zika Virus | CDC","15",2517,"",""
"242","Zika Virus | CDC","16",1901,"",""
"243","Zika Virus | CDC","17",1887,"",""
"244","Zika Virus | CDC","18",1359,"",""
"245","Zika Virus | CDC","19",1306,"",""
"246","Zika Virus | CDC","21",1041,"",""
"247","Zika Virus | CDC","20",1037,"",""
"248","Zika Virus | CDC","22",820,"",""
"249","Zika Virus | CDC","23",800,"",""
"250","Zika Virus | CDC","24",615,"",""
"251","Zika Virus | CDC","25",576,"",""
"252","Zika Virus | CDC","26",497,"",""
"253","Zika Virus | CDC","27",426,"",""
"254","Zika Virus | CDC","30",406,"",""
"255","Zika Virus | CDC","28",405,"",""
"256","Zika Virus | CDC","29",324,"",""
"257","Zika Virus | CDC","32",279,"",""
"258","Zika Virus | CDC","31",254,"",""
"259","Zika Virus | CDC","35",246,"",""
"260","Zika Virus | CDC","33",200,"",""
"261","Zika Virus | CDC","34",173,"",""
"262","Zika Virus | CDC","37",172,"",""
"263","Zika Virus | CDC","38",149,"",""
"264","Zika Virus | CDC","36",144,"",""
"265","Zika Virus | CDC","41",130,"",""
"266","Zika Virus | CDC","42",129,"",""
"267","Zika Virus | CDC","39",129,"",""
"268","Zika Virus | CDC","45",117,"",""
"269","Zika Virus | CDC","40",114,"",""
"270","Zika Virus | CDC","43",103,"",""
"271","Zika Virus | CDC","44",95,"",""
"272","Zika Virus | CDC","47",87,"",""
"273","Zika Virus | CDC","48",82,"",""
"274","Zika Virus | CDC","52",75,"",""
"275","Zika Virus | CDC","50",72,"",""
"276","Zika Virus | CDC","46",59,"",""
"277","Zika Virus | CDC","51",56,"",""
"278","Zika Virus | CDC","55",51,"",""
"279","Zika Virus | CDC","53",44,"",""
"280","Zika Virus | CDC","61",43,"",""
"281","Zika Virus | CDC","59",42,"",""
"282","Zika Virus | CDC","58",42,"",""
"283","Zika Virus | CDC","56",37,"",""
"284","Zika Virus | CDC","60",36,"",""
"285","Zika Virus | CDC","70",30,"",""
"286","Zika Virus | CDC","67",30,"",""
"287","Zika Virus | CDC","57",30,"",""
"288","Zika Virus | CDC","54",30,"",""
"289","Zika Virus | CDC","49",28,"",""
"290","Zika Virus | CDC","65",23,"",""
"291","Zika Virus | CDC","63",23,"",""
"292","Zika Virus | CDC","82",21,"",""
"293","Zika Virus | CDC","69",21,"",""
"294","Zika Virus | CDC","71",20,"",""
"295","Zika Virus | CDC","66",20,"",""
"296","Zika Virus | CDC","73",18,"",""
"297","Zika Virus | CDC","83",17,"",""
"298","Zika Virus | CDC","116",16,"",""
"299","Zika Virus | CDC","78",16,"",""
"300","Zika Virus | CDC","77",16,"",""
"301","Zika Virus | CDC","695",15,"",""
"302","Zika Virus | CDC","129",15,"",""
"303","Zika Virus | CDC","72",15,"",""
"304","Zika Virus | CDC","86",13,"",""
"305","Zika Virus | CDC","76",13,"",""
"306","Zika Virus | CDC","131",12,"",""
"307","Zika Virus | CDC","100",11,"",""
"308","Zika Virus | CDC","85",11,"",""
"309","Zika Virus | CDC","79",11,"",""
"310","Zika Virus | CDC","97",10,"",""
"311","Zika Virus | CDC","92",10,"",""
"312","Zika Virus | CDC","81",10,"",""
"313","Zika Virus | CDC","80",10,"",""
"314","Zika Virus | CDC","62",10,"",""
"315","Zika Virus | CDC","68",9,"",""
"316","Zika Virus | CDC","866",8,"",""
"317","Zika Virus | CDC","95",8,"",""
"318","Zika Virus | CDC","84",8,"",""
"319","Zika Virus | CDC","665",7,"",""
"320","Zika Virus | CDC","412",7,"",""
"321","Zika Virus | CDC","106",7,"",""
"322","Zika Virus | CDC","103",7,"",""
"323","Zika Virus | CDC","96",7,"",""
"324","Zika Virus | CDC","93",7,"",""
"325","Zika Virus | CDC","90",7,"",""
"326","Zika Virus | CDC","64",7,"",""
"327","Zika Virus | CDC","102",6,"",""
"328","Zika Virus | CDC","99",6,"",""
"329","Zika Virus | CDC","1093",5,"",""
"330","Zika Virus | CDC","105",5,"",""
"331","Zika Virus | CDC","89",5,"",""
"332","Zika Virus | CDC","75",5,"",""
"333","Zika Virus | CDC","492",4,"",""
"334","Zika Virus | CDC","314",4,"",""
"335","Zika Virus | CDC","234",4,"",""
"336","Zika Virus | CDC","134",4,"",""
"337","Zika Virus | CDC","127",4,"",""
"338","Zika Virus | CDC","118",4,"",""
"339","Zika Virus | CDC","117",4,"",""
"340","Zika Virus | CDC","114",4,"",""
"341","Zika Virus | CDC","108",4,"",""
"342","Zika Virus | CDC","104",4,"",""
"343","Zika Virus | CDC","94",4,"",""
"344","Zika Virus | CDC","88",4,"",""
"345","Zika Virus | CDC","74",4,"",""
"346","Zika Virus | CDC","646",3,"",""
"347","Zika Virus | CDC","631",3,"",""
"348","Zika Virus | CDC","448",3,"",""
"349","Zika Virus | CDC","377",3,"",""
"350","Zika Virus | CDC","203",3,"",""
"351","Zika Virus | CDC","181",3,"",""
"352","Zika Virus | CDC","147",3,"",""
"353","Zika Virus | CDC","139",3,"",""
"354","Zika Virus | CDC","130",3,"",""
"355","Zika Virus | CDC","121",3,"",""
"356","Zika Virus | CDC","120",3,"",""
"357","Zika Virus | CDC","109",3,"",""
"358","Zika Virus | CDC","1434",2,"",""
"359","Zika Virus | CDC","486",2,"",""
"360","Zika Virus | CDC","379",2,"",""
"361","Zika Virus | CDC","205",2,"",""
"362","Zika Virus | CDC","192",2,"",""
"363","Zika Virus | CDC","144",2,"",""
"364","Zika Virus | CDC","138",2,"",""
"365","Zika Virus | CDC","128",2,"",""
"366","Zika Virus | CDC","126",2,"",""
"367","Zika Virus | CDC","124",2,"",""
"368","Zika Virus | CDC","122",2,"",""
"369","Zika Virus | CDC","115",2,"",""
"370","Zika Virus | CDC","112",2,"",""
"371","Zika Virus | CDC","110",2,"",""
"372","Zika Virus | CDC","107",2,"",""
"373","Zika Virus | CDC","91",2,"",""
"374","Zika Virus | CDC","402",1,"",""
"375","Zika Virus | CDC","331",1,"",""
"376","Zika Virus | CDC","312",1,"",""
"377","Zika Virus | CDC","284",1,"",""
"378","Zika Virus | CDC","243",1,"",""
"379","Zika Virus | CDC","177",1,"",""
"380","Zika Virus | CDC","173",1,"",""
"381","Zika Virus | CDC","169",1,"",""
"382","Zika Virus | CDC","160",1,"",""
"383","Zika Virus | CDC","153",1,"",""
"384","Zika Virus | CDC","119",1,"",""
"385","Zika Virus | CDC","113",1,"",""
"386","Zika Virus | CDC","101",1,"",""
"387","Zika Virus | CDC","98",1,"",""
"388","Zika Virus | CDC","87",1,"",""
"389","Advice for people living in or traveling to South Florida | Zika virus | CDC","1",67909,"",""
"390","Advice for people living in or traveling to South Florida | Zika virus | CDC","2",14490,"",""
"391","Advice for people living in or traveling to South Florida | Zika virus | CDC","3",12875,"",""
"392","Advice for people living in or traveling to South Florida | Zika virus | CDC","4",7381,"",""
"393","Advice for people living in or traveling to South Florida | Zika virus | CDC","5",7277,"",""
"394","Advice for people living in or traveling to South Florida | Zika virus | CDC","6",5187,"",""
"395","Advice for people living in or traveling to South Florida | Zika virus | CDC","7",5088,"",""
"396","Advice for people living in or traveling to South Florida | Zika virus | CDC","8",3755,"",""
"397","Advice for people living in or traveling to South Florida | Zika virus | CDC","9",3586,"",""
"398","Advice for people living in or traveling to South Florida | Zika virus | CDC","10",2645,"",""
"399","Advice for people living in or traveling to South Florida | Zika virus | CDC","11",2330,"",""
"400","Advice for people living in or traveling to South Florida | Zika virus | CDC","12",1800,"",""
"401","Advice for people living in or traveling to South Florida | Zika virus | CDC","13",1549,"",""
"402","Advice for people living in or traveling to South Florida | Zika virus | CDC","14",1207,"",""
"403","Advice for people living in or traveling to South Florida | Zika virus | CDC","15",1137,"",""
"404","Advice for people living in or traveling to South Florida | Zika virus | CDC","16",928,"",""
"405","Advice for people living in or traveling to South Florida | Zika virus | CDC","17",688,"",""
"406","Advice for people living in or traveling to South Florida | Zika virus | CDC","18",547,"",""
"407","Advice for people living in or traveling to South Florida | Zika virus | CDC","19",518,"",""
"408","Advice for people living in or traveling to South Florida | Zika virus | CDC","20",446,"",""
"409","Advice for people living in or traveling to South Florida | Zika virus | CDC","21",445,"",""
"410","Advice for people living in or traveling to South Florida | Zika virus | CDC","23",297,"",""
"411","Advice for people living in or traveling to South Florida | Zika virus | CDC","22",292,"",""
"412","Advice for people living in or traveling to South Florida | Zika virus | CDC","24",261,"",""
"413","Advice for people living in or traveling to South Florida | Zika virus | CDC","25",208,"",""
"414","Advice for people living in or traveling to South Florida | Zika virus | CDC","26",170,"",""
"415","Advice for people living in or traveling to South Florida | Zika virus | CDC","27",167,"",""
"416","Advice for people living in or traveling to South Florida | Zika virus | CDC","28",139,"",""
"417","Advice for people living in or traveling to South Florida | Zika virus | CDC","30",98,"",""
"418","Advice for people living in or traveling to South Florida | Zika virus | CDC","29",90,"",""
"419","Advice for people living in or traveling to South Florida | Zika virus | CDC","32",81,"",""
"420","Advice for people living in or traveling to South Florida | Zika virus | CDC","31",76,"",""
"421","Advice for people living in or traveling to South Florida | Zika virus | CDC","35",64,"",""
"422","Advice for people living in or traveling to South Florida | Zika virus | CDC","34",62,"",""
"423","Advice for people living in or traveling to South Florida | Zika virus | CDC","33",50,"",""
"424","Advice for people living in or traveling to South Florida | Zika virus | CDC","36",39,"",""
"425","Advice for people living in or traveling to South Florida | Zika virus | CDC","37",38,"",""
"426","Advice for people living in or traveling to South Florida | Zika virus | CDC","38",33,"",""
"427","Advice for people living in or traveling to South Florida | Zika virus | CDC","47",32,"",""
"428","Advice for people living in or traveling to South Florida | Zika virus | CDC","70",26,"",""
"429","Advice for people living in or traveling to South Florida | Zika virus | CDC","45",24,"",""
"430","Advice for people living in or traveling to South Florida | Zika virus | CDC","53",18,"",""
"431","Advice for people living in or traveling to South Florida | Zika virus | CDC","40",18,"",""
"432","Advice for people living in or traveling to South Florida | Zika virus | CDC","43",16,"",""
"433","Advice for people living in or traveling to South Florida | Zika virus | CDC","44",13,"",""
"434","Advice for people living in or traveling to South Florida | Zika virus | CDC","42",13,"",""
"435","Advice for people living in or traveling to South Florida | Zika virus | CDC","52",12,"",""
"436","Advice for people living in or traveling to South Florida | Zika virus | CDC","49",12,"",""
"437","Advice for people living in or traveling to South Florida | Zika virus | CDC","100",11,"",""
"438","Advice for people living in or traveling to South Florida | Zika virus | CDC","55",11,"",""
"439","Advice for people living in or traveling to South Florida | Zika virus | CDC","51",11,"",""
"440","Advice for people living in or traveling to South Florida | Zika virus | CDC","48",11,"",""
"441","Advice for people living in or traveling to South Florida | Zika virus | CDC","46",11,"",""
"442","Advice for people living in or traveling to South Florida | Zika virus | CDC","39",11,"",""
