"","page","geostate","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","New York (United States)",39006,"",""
"34","Areas with Zika | Zika virus | CDC","Kentucky (United States)",1429,"",""
"35","Areas with Zika | Zika virus | CDC","Kansas (United States)",1399,"",""
"36","Areas with Zika | Zika virus | CDC","Nebraska (United States)",1384,"",""
"37","Areas with Zika | Zika virus | CDC","New South Wales (Australia)",1329,"",""
"38","Areas with Zika | Zika virus | CDC","New Hampshire (United States)",1296,"",""
"39","Areas with Zika | Zika virus | CDC","Zurich (Switzerland)",1280,"",""
"40","Areas with Zika | Zika virus | CDC","Saskatchewan (Canada)",1191,"",""
"41","Areas with Zika | Zika virus | CDC","Dublin (Ireland)",1190,"",""
"42","Areas with Zika | Zika virus | CDC","Manitoba (Canada)",1126,"",""
"43","Areas with Zika | Zika virus | CDC","Victoria (Australia)",1087,"",""
"44","Areas with Zika | Zika virus | CDC","Alabama (United States)",1077,"",""
"45","Areas with Zika | Zika virus | CDC","Surrey (United Kingdom)",1045,"",""
"46","Areas with Zika | Zika virus | CDC","Nova Scotia (Canada)",1039,"",""
"47","Areas with Zika | Zika virus | CDC","Louisiana (United States)",1019,"",""
"48","Areas with Zika | Zika virus | CDC","Oklahoma (United States)",963,"",""
"49","Areas with Zika | Zika virus | CDC","Stockholms Lan (Sweden)",953,"",""
"50","Areas with Zika | Zika virus | CDC","Rhode Island (United States)",937,"",""
"51","Areas with Zika | Zika virus | CDC","Hong Kong (Hong Kong)",910,"",""
"52","Areas with Zika | Zika virus | CDC","Bayern (Germany)",866,"",""
"53","Areas with Zika | Zika virus | CDC","Nevada (United States)",838,"",""
"54","Areas with Zika | Zika virus | CDC","Uusimaa (Finland)",795,"",""
"55","Areas with Zika | Zika virus | CDC","Maine (United States)",793,"",""
"56","Areas with Zika | Zika virus | CDC","Nordrhein-Westfalen (Germany)",789,"",""
"57","Areas with Zika | Zika virus | CDC","Kent (United Kingdom)",788,"",""
"58","Areas with Zika | Zika virus | CDC","Hertfordshire (United Kingdom)",765,"",""
"59","Areas with Zika | Zika virus | CDC","Delaware (United States)",704,"",""
"60","Areas with Zika | Zika virus | CDC","Arkansas (United States)",662,"",""
"61","Areas with Zika | Zika virus | CDC","Hawaii (United States)",646,"",""
"62","Areas with Zika | Zika virus | CDC","New Brunswick (Canada)",630,"",""
"63","Areas with Zika | Zika virus | CDC","Ile-De-France (France)",589,"",""
"64","Areas with Zika | Zika virus | CDC","Baden-Wurttemberg (Germany)",582,"",""
"65","Areas with Zika | Zika virus | CDC","Hessen (Germany)",571,"",""
"66","Areas with Zika | Zika virus | CDC","Tel-Aviv (Israel)",568,"",""
"67","Areas with Zika | Zika virus | CDC","South Dakota (United States)",564,"",""
"68","Areas with Zika | Zika virus | CDC","Idaho (United States)",563,"",""
"69","Areas with Zika | Zika virus | CDC","Vermont (United States)",556,"",""
"70","Areas with Zika | Zika virus | CDC","Essex (United Kingdom)",542,"",""
"71","Areas with Zika | Zika virus | CDC","Islington (United Kingdom)",520,"",""
"72","Areas with Zika | Zika virus | CDC","Auckland (New Zealand)",519,"",""
"73","Areas with Zika | Zika virus | CDC","Noord-Holland (Netherlands)",516,"",""
"74","Areas with Zika | Zika virus | CDC","Birmingham (United Kingdom)",492,"",""
"75","Areas with Zika | Zika virus | CDC","Queensland (Australia)",492,"",""
"76","Areas with Zika | Zika virus | CDC","Mississippi (United States)",475,"",""
"77","Areas with Zika | Zika virus | CDC","Montana (United States)",471,"",""
"78","Areas with Zika | Zika virus | CDC","Hovedstaden (Denmark)",467,"",""
"79","Areas with Zika | Zika virus | CDC","Newfoundland and Labrador (Canada)",467,"",""
"80","Areas with Zika | Zika virus | CDC","North Dakota (United States)",463,"",""
"81","Areas with Zika | Zika virus | CDC","New Mexico (United States)",460,"",""
"82","Areas with Zika | Zika virus | CDC","Hampshire (United Kingdom)",458,"",""
"83","Areas with Zika | Zika virus | CDC","Oslo (Norway)",443,"",""
"84","Areas with Zika | Zika virus | CDC","Berlin (Germany)",417,"",""
"85","Areas with Zika | Zika virus | CDC","Zuid-Holland (Netherlands)",394,"",""
"86","Areas with Zika | Zika virus | CDC","Southwark (United Kingdom)",392,"",""
"87","Areas with Zika | Zika virus | CDC","Bristol (United Kingdom)",359,"",""
"88","Areas with Zika | Zika virus | CDC","Krung Thep Maha Nakhon Bangkok (Thailand)",357,"",""
"89","Areas with Zika | Zika virus | CDC","Region Metro De Santiago (Chile)",346,"",""
"90","Areas with Zika | Zika virus | CDC","West Virginia (United States)",346,"",""
"91","Areas with Zika | Zika virus | CDC","Manchester (United Kingdom)",340,"",""
"92","Areas with Zika | Zika virus | CDC","Oxfordshire (United Kingdom)",337,"",""
"93","Areas with Zika | Zika virus | CDC","Kensington and Chelsea (United Kingdom)",335,"",""
"94","Areas with Zika | Zika virus | CDC","Tower Hamlets (United Kingdom)",326,"",""
"95","Areas with Zika | Zika virus | CDC","Bruxelles-Capitale (Belgium)",323,"",""
"96","Areas with Zika | Zika virus | CDC","Glasgow City (United Kingdom)",321,"",""
"97","Areas with Zika | Zika virus | CDC","Camden (United Kingdom)",319,"",""
"98","Areas with Zika | Zika virus | CDC","West Sussex (United Kingdom)",312,"",""
"99","Areas with Zika | Zika virus | CDC","Hammersmith and Fulham (United Kingdom)",309,"",""
"100","Areas with Zika | Zika virus | CDC","Central (Singapore)",308,"",""
"101","Areas with Zika | Zika virus | CDC","Puerto Rico (Puerto Rico)",299,"",""
"102","Areas with Zika | Zika virus | CDC","Alaska (United States)",294,"",""
"103","Areas with Zika | Zika virus | CDC","Wien (Austria)",289,"",""
"104","Areas with Zika | Zika virus | CDC","Lancashire (United Kingdom)",289,"",""
"105","Areas with Zika | Zika virus | CDC","Wyoming (United States)",289,"",""
"106","Areas with Zika | Zika virus | CDC","Distrito Federal (Mexico)",283,"",""
"107","Areas with Zika | Zika virus | CDC","Cambridgeshire (United Kingdom)",281,"",""
"108","Areas with Zika | Zika virus | CDC","Western Australia (Australia)",279,"",""
"109","Areas with Zika | Zika virus | CDC","Leeds (United Kingdom)",277,"",""
"110","Areas with Zika | Zika virus | CDC","Manila (Philippines)",270,"",""
"111","Areas with Zika | Zika virus | CDC","Wandsworth (United Kingdom)",258,"",""
"112","Areas with Zika | Zika virus | CDC","Barnet (United Kingdom)",258,"",""
"113","Areas with Zika | Zika virus | CDC","Tokyo (Japan)",256,"",""
"114","Areas with Zika | Zika virus | CDC","Croydon (United Kingdom)",249,"",""
"115","Areas with Zika | Zika virus | CDC","Seoul Teugbyeol-SI (South Korea)",248,"",""
"116","Areas with Zika | Zika virus | CDC","Dubayy (United Arab Emirates)",247,"",""
"117","Areas with Zika | Zika virus | CDC","Bern (Switzerland)",246,"",""
"118","Areas with Zika | Zika virus | CDC","Praha (Czech Republic)",240,"",""
"119","Areas with Zika | Zika virus | CDC","Nottingham (United Kingdom)",235,"",""
"120","Areas with Zika | Zika virus | CDC","Haringey (United Kingdom)",234,"",""
"121","Areas with Zika | Zika virus | CDC","Niedersachsen (Germany)",232,"",""
"122","Areas with Zika | Zika virus | CDC","Lisboa (Portugal)",230,"",""
"123","Areas with Zika | Zika virus | CDC","Hamburg (Germany)",227,"",""
"124","Areas with Zika | Zika virus | CDC","Gauteng (South Africa)",222,"",""
"125","Areas with Zika | Zika virus | CDC","Waltham Forest (United Kingdom)",219,"",""
"126","Areas with Zika | Zika virus | CDC","Sao Paulo (Brazil)",217,"",""
"127","Areas with Zika | Zika virus | CDC","Ealing (United Kingdom)",216,"",""
"128","Areas with Zika | Zika virus | CDC","Liverpool (United Kingdom)",214,"",""
"129","Areas with Zika | Zika virus | CDC","Mazowieckie (Poland)",213,"",""
"130","Areas with Zika | Zika virus | CDC","Distrito Nacional (Dominican Republic)",212,"",""
"131","Areas with Zika | Zika virus | CDC","Buckinghamshire (United Kingdom)",212,"",""
"132","Areas with Zika | Zika virus | CDC","Norfolk (United Kingdom)",209,"",""
"133","Areas with Zika | Zika virus | CDC","Vaud (Switzerland)",208,"",""
"134","Areas with Zika | Zika virus | CDC","Sheffield (United Kingdom)",207,"",""
"135","Areas with Zika | Zika virus | CDC","Leicester (United Kingdom)",201,"",""
"136","Areas with Zika | Zika virus | CDC","Vastra Gotalands Lan (Sweden)",200,"",""
"137","Areas with Zika | Zika virus | CDC","Hounslow (United Kingdom)",199,"",""
"138","Areas with Zika | Zika virus | CDC","Brent (United Kingdom)",198,"",""
"139","Areas with Zika | Zika virus | CDC","Antwerpen (Belgium)",196,"",""
"140","Areas with Zika | Zika virus | CDC","Northamptonshire (United Kingdom)",195,"",""
"141","Areas with Zika | Zika virus | CDC","Bucuresti (Romania)",190,"",""
"142","Areas with Zika | Zika virus | CDC","Hillingdon (United Kingdom)",188,"",""
"143","Areas with Zika | Zika virus | CDC","Harrow (United Kingdom)",186,"",""
"144","Areas with Zika | Zika virus | CDC","Edinburgh (United Kingdom)",186,"",""
"145","Areas with Zika | Zika virus | CDC","Bromley (United Kingdom)",185,"",""
"146","Areas with Zika | Zika virus | CDC","Greenwich (United Kingdom)",184,"",""
"147","Areas with Zika | Zika virus | CDC","Capital Federal (Argentina)",184,"",""
"148","Areas with Zika | Zika virus | CDC","Brighton and Hove (United Kingdom)",183,"",""
"149","Areas with Zika | Zika virus | CDC","Milano (Italy)",177,"",""
"150","Areas with Zika | Zika virus | CDC","Lewisham (United Kingdom)",175,"",""
"151","Areas with Zika | Zika virus | CDC","Quintana Roo (Mexico)",169,"",""
"152","Areas with Zika | Zika virus | CDC","Gloucestershire (United Kingdom)",167,"",""
"153","Areas with Zika | Zika virus | CDC","Wilayah Persekutuan Kuala Lump (Malaysia)",167,"",""
"154","Areas with Zika | Zika virus | CDC","Rheinland-Pfalz (Germany)",166,"",""
"155","Areas with Zika | Zika virus | CDC","Budapest (Hungary)",165,"",""
"156","Areas with Zika | Zika virus | CDC","Maharashtra (India)",165,"",""
"157","Areas with Zika | Zika virus | CDC","Geneve (Switzerland)",164,"",""
"158","Areas with Zika | Zika virus | CDC","Milton Keynes (United Kingdom)",162,"",""
"159","Areas with Zika | Zika virus | CDC","Skane Lan (Sweden)",161,"",""
"160","Areas with Zika | Zika virus | CDC","Madrid (Spain)",160,"",""
"161","Areas with Zika | Zika virus | CDC","Somerset (United Kingdom)",155,"",""
"162","Areas with Zika | Zika virus | CDC","Ljubljana (Slovenia)",155,"",""
"163","Areas with Zika | Zika virus | CDC","Kingston Upon Thames (United Kingdom)",154,"",""
"164","Areas with Zika | Zika virus | CDC","Selangor (Malaysia)",153,"",""
"165","Areas with Zika | Zika virus | CDC","Hamerkaz (Israel)",152,"",""
"166","Areas with Zika | Zika virus | CDC","Reading (United Kingdom)",151,"",""
"167","Areas with Zika | Zika virus | CDC","Prince Edward Island (Canada)",151,"",""
"168","Areas with Zika | Zika virus | CDC","Southampton (United Kingdom)",150,"",""
"169","Areas with Zika | Zika virus | CDC","Slough (United Kingdom)",150,"",""
"170","Areas with Zika | Zika virus | CDC","Jalisco (Mexico)",147,"",""
"171","Areas with Zika | Zika virus | CDC","Aargau (Switzerland)",144,"",""
"172","Areas with Zika | Zika virus | CDC","Utrecht (Netherlands)",142,"",""
"173","Areas with Zika | Zika virus | CDC","Roma (Italy)",140,"",""
"174","Areas with Zika | Zika virus | CDC","Enfield (United Kingdom)",139,"",""
"175","Areas with Zika | Zika virus | CDC","Westminster (United Kingdom)",139,"",""
"176","Areas with Zika | Zika virus | CDC","Midtjylland (Denmark)",138,"",""
"177","Areas with Zika | Zika virus | CDC","Richmond Upon Thames (United Kingdom)",136,"",""
"178","Areas with Zika | Zika virus | CDC","Newham (United Kingdom)",136,"",""
"179","Areas with Zika | Zika virus | CDC","Suffolk (United Kingdom)",135,"",""
"180","Areas with Zika | Zika virus | CDC","Distrito Capital (Colombia)",135,"",""
"181","Areas with Zika | Zika virus | CDC","Harjumaa (Estonia)",133,"",""
"182","Areas with Zika | Zika virus | CDC","Noord-Brabant (Netherlands)",133,"",""
"183","Areas with Zika | Zika virus | CDC","Istanbul (Turkey)",133,"",""
"184","Areas with Zika | Zika virus | CDC","Devon (United Kingdom)",132,"",""
"185","Areas with Zika | Zika virus | CDC","South Australia (Australia)",130,"",""
"186","Areas with Zika | Zika virus | CDC","Western Cape (South Africa)",129,"",""
"187","Areas with Zika | Zika virus | CDC","Wolverhampton (United Kingdom)",128,"",""
"188","Areas with Zika | Zika virus | CDC","Lambeth (United Kingdom)",128,"",""
"189","Areas with Zika | Zika virus | CDC","Unspecified",126,"",""
"190","Areas with Zika | Zika virus | CDC","Staffordshire (United Kingdom)",124,"",""
"191","Areas with Zika | Zika virus | CDC","East Sussex (United Kingdom)",124,"",""
"192","Areas with Zika | Zika virus | CDC","Oost-Vlaanderen (Belgium)",121,"",""
"193","Areas with Zika | Zika virus | CDC","Warwickshire (United Kingdom)",120,"",""
"194","Areas with Zika | Zika virus | CDC","Barcelona (Spain)",118,"",""
"195","Areas with Zika | Zika virus | CDC","Hackney (United Kingdom)",118,"",""
"196","Areas with Zika | Zika virus | CDC","Luzern (Switzerland)",117,"",""
"197","Areas with Zika | Zika virus | CDC","Coventry (United Kingdom)",117,"",""
"198","Areas with Zika | Zika virus | CDC","Belfast (United Kingdom)",117,"",""
"199","Areas with Zika | Zika virus | CDC","Redbridge (United Kingdom)",117,"",""
"200","Areas with Zika | Zika virus | CDC","Taipei City (Taiwan)",115,"",""
"201","Areas with Zika | Zika virus | CDC","Basel-Stadt (Switzerland)",115,"",""
"202","Areas with Zika | Zika virus | CDC","Aruba (Aruba)",113,"",""
"203","Areas with Zika | Zika virus | CDC","Nairobi (Kenya)",113,"",""
"204","Areas with Zika | Zika virus | CDC","Canterbury (New Zealand)",112,"",""
"205","Areas with Zika | Zika virus | CDC","Buenos Aires (Argentina)",111,"",""
"206","Areas with Zika | Zika virus | CDC","Newcastle Upon Tyne (United Kingdom)",108,"",""
"207","Areas with Zika | Zika virus | CDC","Lagos (Nigeria)",108,"",""
"208","Areas with Zika | Zika virus | CDC","Kingston (Jamaica)",108,"",""
"209","Areas with Zika | Zika virus | CDC","Delhi (India)",108,"",""
"210","Areas with Zika | Zika virus | CDC","Worcestershire (United Kingdom)",107,"",""
"211","Areas with Zika | Zika virus | CDC","Wellington (New Zealand)",106,"",""
"212","Areas with Zika | Zika virus | CDC","Bratislavsky Kraj (Slovakia (Slovak Republic))",106,"",""
"213","Areas with Zika | Zika virus | CDC","Aberdeen City (United Kingdom)",104,"",""
"214","Areas with Zika | Zika virus | CDC","Hordaland (Norway)",104,"",""
"215","Areas with Zika | Zika virus | CDC","Havering (United Kingdom)",104,"",""
"216","Areas with Zika | Zika virus | CDC","Vlaams Brabant (Belgium)",104,"",""
"217","Areas with Zika | Zika virus | CDC","Cardiff (United Kingdom)",104,"",""
"218","Areas with Zika | Zika virus | CDC","Derbyshire (United Kingdom)",103,"",""
"219","Areas with Zika | Zika virus | CDC","Jakarta Raya (Indonesia)",102,"",""
"220","Areas with Zika | Zika virus | CDC","Luxembourg (Luxembourg)",101,"",""
"221","Areas with Zika | Zika virus | CDC","Attiki (Greece)",100,"",""
"222","Areas with Zika | Zika virus | CDC","Stockport (United Kingdom)",99,"",""
"223","Areas with Zika | Zika virus | CDC","San Jose (Costa Rica)",98,"",""
"224","Areas with Zika | Zika virus | CDC","Lincolnshire (United Kingdom)",98,"",""
"225","Areas with Zika | Zika virus | CDC","Rhone-Alpes (France)",98,"",""
"226","Areas with Zika | Zika virus | CDC","Bradford (United Kingdom)",98,"",""
"227","Areas with Zika | Zika virus | CDC","Bedfordshire (United Kingdom)",97,"",""
"228","Areas with Zika | Zika virus | CDC","Cornwall (United Kingdom)",96,"",""
"229","Areas with Zika | Zika virus | CDC","Akershus (Norway)",94,"",""
"230","Areas with Zika | Zika virus | CDC","Basnahira Palata (Sri Lanka)",92,"",""
"231","Areas with Zika | Zika virus | CDC","Sutton (United Kingdom)",90,"",""
"232","Areas with Zika | Zika virus | CDC","Medway (United Kingdom)",89,"",""
"233","Areas with Zika | Zika virus | CDC","North Yorkshire (United Kingdom)",88,"",""
"234","Areas with Zika | Zika virus | CDC","Abu Zaby (United Arab Emirates)",88,"",""
"235","Areas with Zika | Zika virus | CDC","Metropolitana De Lima (Peru)",87,"",""
"236","Areas with Zika | Zika virus | CDC","Barking and Dagenham (United Kingdom)",86,"",""
"237","Areas with Zika | Zika virus | CDC","Cumbria (United Kingdom)",86,"",""
"238","Areas with Zika | Zika virus | CDC","Ad Dawhah (Qatar)",85,"",""
"239","Areas with Zika | Zika virus | CDC","Wiltshire (United Kingdom)",84,"",""
"240","Areas with Zika | Zika virus | CDC","Plymouth (United Kingdom)",83,"",""
"241","Areas with Zika | Zika virus | CDC","Kildare (Ireland)",82,"",""
"242","Areas with Zika | Zika virus | CDC","Rio De Janeiro (Brazil)",82,"",""
"243","Areas with Zika | Zika virus | CDC","Bexley (United Kingdom)",82,"",""
"244","Areas with Zika | Zika virus | CDC","Cork (Ireland)",77,"",""
"245","Areas with Zika | Zika virus | CDC","Derby (United Kingdom)",77,"",""
"246","Areas with Zika | Zika virus | CDC","Cheshire East (United Kingdom)",77,"",""
"247","Areas with Zika | Zika virus | CDC","New Providence (Bahamas)",77,"",""
"248","Areas with Zika | Zika virus | CDC","Ho Chi Minh (Viet Nam)",76,"",""
"249","Areas with Zika | Zika virus | CDC","US Virgin Islands (US Virgin Islands)",76,"",""
"250","Areas with Zika | Zika virus | CDC","Dar-Es-Salaam (Tanzania)",75,"",""
"251","Areas with Zika | Zika virus | CDC","Riga (Latvia)",74,"",""
"252","Areas with Zika | Zika virus | CDC","Vilniaus (Lithuania)",73,"",""
"253","Areas with Zika | Zika virus | CDC","Gelderland (Netherlands)",73,"",""
"254","Areas with Zika | Zika virus | CDC","AOL (United States)",73,"",""
"255","Areas with Zika | Zika virus | CDC","Jersey (Jersey)",72,"",""
"256","Areas with Zika | Zika virus | CDC","Sankt Gallen (Switzerland)",70,"",""
"257","Areas with Zika | Zika virus | CDC","Cayman Islands (Cayman Islands)",70,"",""
"258","Areas with Zika | Zika virus | CDC","Reykjavik (Iceland)",69,"",""
"259","Areas with Zika | Zika virus | CDC","Portsmouth (United Kingdom)",69,"",""
"260","Areas with Zika | Zika virus | CDC","Nottinghamshire (United Kingdom)",69,"",""
"261","Areas with Zika | Zika virus | CDC","Sachsen (Germany)",68,"",""
"262","Areas with Zika | Zika virus | CDC","Kanagawa (Japan)",67,"",""
"263","Areas with Zika | Zika virus | CDC","Stoke-On-Trent (United Kingdom)",67,"",""
"264","Areas with Zika | Zika virus | CDC","Bermuda (Bermuda)",67,"",""
"265","Areas with Zika | Zika virus | CDC","Kirklees (United Kingdom)",67,"",""
"266","Areas with Zika | Zika virus | CDC","Australian Capital Territory (Australia)",67,"",""
"267","Areas with Zika | Zika virus | CDC","Cheshire West and Chester (United Kingdom)",67,"",""
"268","Areas with Zika | Zika virus | CDC","Trafford (United Kingdom)",66,"",""
"269","Areas with Zika | Zika virus | CDC","Kingston Upon Hull (United Kingdom)",66,"",""
"270","Areas with Zika | Zika virus | CDC","Shropshire (United Kingdom)",65,"",""
"271","Areas with Zika | Zika virus | CDC","Tamil Nadu (India)",65,"",""
"272","Areas with Zika | Zika virus | CDC","Dolnoslaskie (Poland)",65,"",""
"273","Areas with Zika | Zika virus | CDC","Guatemala (Guatemala)",64,"",""
"274","Areas with Zika | Zika virus | CDC","Dorset (United Kingdom)",64,"",""
"275","Areas with Zika | Zika virus | CDC","Bath and North East Somerset (United Kingdom)",63,"",""
"276","Areas with Zika | Zika virus | CDC","Turks and Caicos Islands (Turks and Caicos Islands)",63,"",""
"277","Areas with Zika | Zika virus | CDC","Saint John (Antigua and Barbuda)",62,"",""
"278","Areas with Zika | Zika virus | CDC","Baja California Sur (Mexico)",62,"",""
"279","Areas with Zika | Zika virus | CDC","Rogaland (Norway)",62,"",""
"280","Areas with Zika | Zika virus | CDC","Limburg (Netherlands)",61,"",""
"281","Areas with Zika | Zika virus | CDC","Bay of Plenty (New Zealand)",61,"",""
"282","Areas with Zika | Zika virus | CDC","Sunderland (United Kingdom)",60,"",""
"283","Areas with Zika | Zika virus | CDC","Limburg (Belgium)",59,"",""
"284","Areas with Zika | Zika virus | CDC","Leicestershire (United Kingdom)",59,"",""
"285","Areas with Zika | Zika virus | CDC","Schleswig-Holstein (Germany)",58,"",""
"286","Areas with Zika | Zika virus | CDC","Wigan (United Kingdom)",58,"",""
"287","Areas with Zika | Zika virus | CDC","Dhaka (Bangladesh)",57,"",""
"288","Areas with Zika | Zika virus | CDC","Male (Maldives)",57,"",""
"289","Areas with Zika | Zika virus | CDC","Bracknell Forest (United Kingdom)",57,"",""
"290","Areas with Zika | Zika virus | CDC","Central Bedfordshire (United Kingdom)",57,"",""
"291","Areas with Zika | Zika virus | CDC","Curacao (Curacao)",56,"",""
"292","Areas with Zika | Zika virus | CDC","Porto (Portugal)",55,"",""
"293","Areas with Zika | Zika virus | CDC","Walsall (United Kingdom)",55,"",""
"294","Areas with Zika | Zika virus | CDC","Sandwell (United Kingdom)",54,"",""
"295","Areas with Zika | Zika virus | CDC","Saint Michael (Barbados)",54,"",""
"296","Areas with Zika | Zika virus | CDC","Panama (Panama)",54,"",""
"297","Areas with Zika | Zika virus | CDC","Warrington (United Kingdom)",54,"",""
"298","Areas with Zika | Zika virus | CDC","Bournemouth (United Kingdom)",54,"",""
"299","Areas with Zika | Zika virus | CDC","Fife (United Kingdom)",54,"",""
"300","Areas with Zika | Zika virus | CDC","Oberosterreich (Austria)",54,"",""
"301","Areas with Zika | Zika virus | CDC","Bolton (United Kingdom)",54,"",""
"302","Areas with Zika | Zika virus | CDC","Southwest Finland (Finland)",53,"",""
"303","Areas with Zika | Zika virus | CDC","Moskva (Russian Federation)",53,"",""
"304","Areas with Zika | Zika virus | CDC","Beirut (Lebanon)",53,"",""
"305","Areas with Zika | Zika virus | CDC","West-Vlaanderen (Belgium)",53,"",""
"306","Areas with Zika | Zika virus | CDC","Ha Noi (Viet Nam)",52,"",""
"307","Areas with Zika | Zika virus | CDC","Syddanmark (Denmark)",52,"",""
"308","Areas with Zika | Zika virus | CDC","Rotherham (United Kingdom)",52,"",""
"309","Areas with Zika | Zika virus | CDC","Slaskie (Poland)",52,"",""
"310","Areas with Zika | Zika virus | CDC","Galway (Ireland)",51,"",""
"311","Areas with Zika | Zika virus | CDC","Tasmania (Australia)",51,"",""
"312","Areas with Zika | Zika virus | CDC","Nuevo Leon (Mexico)",51,"",""
"313","Areas with Zika | Zika virus | CDC","Satakunta (Finland)",51,"",""
"314","Areas with Zika | Zika virus | CDC","Middlesbrough (United Kingdom)",50,"",""
"315","Areas with Zika | Zika virus | CDC","Jihomoravsky Kraj (Czech Republic)",50,"",""
"316","Areas with Zika | Zika virus | CDC","Uppsala Lan (Sweden)",50,"",""
"317","Areas with Zika | Zika virus | CDC","Dudley (United Kingdom)",49,"",""
"318","Areas with Zika | Zika virus | CDC","Al Qahirah (Egypt)",49,"",""
"319","Areas with Zika | Zika virus | CDC","Pirkanmaa (Finland)",49,"",""
"320","Areas with Zika | Zika virus | CDC","Peterborough (United Kingdom)",49,"",""
"321","Areas with Zika | Zika virus | CDC","Alajuela (Costa Rica)",48,"",""
"322","Areas with Zika | Zika virus | CDC","Montevideo (Uruguay)",48,"",""
"323","Areas with Zika | Zika virus | CDC","Phnom Penh (Cambodia)",47,"",""
"324","Areas with Zika | Zika virus | CDC","Zug (Switzerland)",47,"",""
"325","Areas with Zika | Zika virus | CDC","Bali (Indonesia)",47,"",""
"326","Areas with Zika | Zika virus | CDC","Yangon (Myanmar)",47,"",""
"327","Areas with Zika | Zika virus | CDC","Yukon Territory (Canada)",47,"",""
"328","Areas with Zika | Zika virus | CDC","Merton (United Kingdom)",46,"",""
"329","Areas with Zika | Zika virus | CDC","Provence-Alpes-Cote-D'azur (France)",46,"",""
"330","Areas with Zika | Zika virus | CDC","Sofia-Grad (Bulgaria)",46,"",""
"331","Areas with Zika | Zika virus | CDC","Guam (Guam)",43,"",""
"332","Areas with Zika | Zika virus | CDC","Niederosterreich (Austria)",43,"",""
"333","Areas with Zika | Zika virus | CDC","Swindon (United Kingdom)",42,"",""
"334","Areas with Zika | Zika virus | CDC","Kyiv (Ukraine)",42,"",""
"335","Areas with Zika | Zika virus | CDC","Northwest Territories (Canada)",42,"",""
"336","Areas with Zika | Zika virus | CDC","Cebu (Philippines)",42,"",""
"337","Areas with Zika | Zika virus | CDC","Poole (United Kingdom)",41,"",""
"338","Areas with Zika | Zika virus | CDC","York (United Kingdom)",41,"",""
"339","Areas with Zika | Zika virus | CDC","Wakefield (United Kingdom)",41,"",""
"340","Areas with Zika | Zika virus | CDC","Ar Riyad (Saudi Arabia)",41,"",""
"341","Areas with Zika | Zika virus | CDC","Basel-Landschaft (Switzerland)",41,"",""
"342","Areas with Zika | Zika virus | CDC","Rio Grande Do Sul (Brazil)",41,"",""
"343","Areas with Zika | Zika virus | CDC","Al Kuwayt (Kuwait)",41,"",""
"344","Areas with Zika | Zika virus | CDC","Groningen (Netherlands)",40,"",""
"345","Areas with Zika | Zika virus | CDC","Waikato (New Zealand)",40,"",""
