# ----------------------------------------
# HHS Agency Profile
# Pages
# 20170106-20170205
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
cdc.gov/flu/weekly/usmap.htm,"183,445","155,918",00:01:28,"114,651",60.39%,55.09%,$0.00
cdc.gov/vaccines/schedules/hcp/imz/child-adolescent.html,"163,888","145,402",00:03:28,"103,264",77.67%,71.37%,$0.00
cdc.gov/std/gonorrhea/stdfact-gonorrhea.htm,"160,532","146,529",00:03:54,"120,169",77.25%,71.77%,$0.00
cdc.gov/std/trichomonas/stdfact-trichomoniasis.htm,"155,051","142,418",00:05:23,"130,436",85.09%,82.30%,$0.00
cdc.gov/flu/weekly/index.html,"150,100","132,949",00:03:41,"92,283",60.34%,64.88%,$0.00
cdc.gov/flu/takingcare.htm,"149,022","135,937",00:03:02,"114,525",79.25%,74.93%,$0.00
cdc.gov/vaccines/index.html,"145,757","114,582",00:00:42,"60,429",39.95%,30.31%,$0.00
cdc.gov/norovirus/about/transmission.html,"144,129","118,913",00:01:42,"30,976",56.95%,38.76%,$0.00
cdc.gov/std/syphilis/stdfact-syphilis.htm,"142,984","127,608",00:04:01,"110,025",77.98%,72.21%,$0.00
cdc.gov/std/spanish/sifilis/stdfact-syphilis-s.htm,"140,254","125,249",00:05:44,"114,882",82.67%,80.07%,$0.00
cdc.gov/zika/intheus/florida-update.html,"139,735","111,045",00:01:42,"57,602",55.62%,42.95%,$0.00
cdc.gov/flu/index.html,"138,356","113,768",00:01:20,"95,586",49.47%,46.33%,$0.00
cdc.gov/flu/index.htm,"136,329","113,088",00:00:49,"21,916",36.95%,24.59%,$0.00
cdc.gov/flu/about/season/current.htm,"129,980","104,180",00:00:50,"47,290",27.57%,28.01%,$0.00
cdc.gov/vaccines/hcp/vis/index.html,"127,856","103,541",00:00:28,"56,382",23.43%,23.27%,$0.00
cdc.gov/zika/intheus/maps-zika-us.html,"125,503","106,790",00:01:54,"31,776",58.29%,45.53%,$0.00
cdc.gov/vaccines/schedules/index.html,"124,801","98,810",00:00:28,"73,904",16.92%,18.06%,$0.00
cdc.gov/std/spanish/herpes/stdfact-herpes-s.htm,"122,743","111,600",00:06:26,"103,569",87.62%,85.02%,$0.00
cdc.gov/drugoverdose/index.html,"118,871","103,296",00:02:43,"98,193",85.16%,79.18%,$0.00
cdc.gov/healthyweight/assessing/bmi/index.html,"117,134","90,306",00:00:33,"80,243",30.06%,31.75%,$0.00
cdc.gov/std/spanish/gonorrea/stdfact-gonorrhea-s.htm,"115,761","105,206",00:05:50,"93,405",83.28%,80.31%,$0.00
cdc.gov/ncbddd/actearly/milestones/index.html,"114,414","73,360",00:00:47,"54,811",21.84%,24.05%,$0.00
cdc.gov/diseasesconditions/index.html,"113,455","83,855",00:00:49,"43,088",38.22%,25.11%,$0.00
cdc.gov/hepatitis/hcv/cfaq.htm,"109,742","100,776",00:05:40,"94,833",87.57%,85.46%,$0.00
cdc.gov/norovirus/about/treatment.html,"108,685","96,021",00:01:06,"13,909",67.62%,42.87%,$0.00
cdc.gov/flu/consumer/symptoms.htm,"108,458","98,324",00:02:49,"70,982",73.59%,67.66%,$0.00
cdc.gov/meningitis/bacterial.html,"108,236","98,145",00:04:18,"78,915",85.58%,78.86%,$0.00
cdc.gov/vaccines/schedules/hcp/child-adolescent.html,"100,452","77,616",00:01:14,"26,577",21.95%,31.41%,$0.00
cdc.gov/std/bv/stdfact-bacterial-vaginosis.htm,"98,118","89,702",00:03:26,"77,238",82.13%,75.89%,$0.00
cdc.gov/meningitis/index.html,"97,096","84,643",00:02:07,"77,084",69.85%,64.15%,$0.00
cdc.gov/nchs/fastats/leading-causes-of-death.htm,"95,365","81,389",00:03:08,"71,742",67.93%,67.34%,$0.00
cdc.gov/zika/pregnancy/women-and-their-partners.html,"93,687","80,404",00:02:36,"44,561",68.16%,59.95%,$0.00
cdc.gov/flu/protect/keyfacts.htm,"93,662","83,962",00:03:13,"66,454",70.20%,64.00%,$0.00
cdc.gov/zika/about/index.html,"93,300","70,799",00:01:13,"26,296",34.60%,21.46%,$0.00
cdc.gov/norovirus/preventing-infection.html,"93,250","81,441",00:02:42,"16,101",67.92%,52.84%,$0.00
cdc.gov/flu/weekly/index.htm,"93,033","79,183",00:03:43,"30,964",60.35%,63.78%,$0.00
cdc.gov/lyme/index.html,"92,085","72,890",00:01:24,"66,513",47.44%,45.01%,$0.00
cdc.gov/vaccines/ed/youcalltheshots.html,"91,636","44,698",00:04:23,"22,495",14.43%,38.60%,$0.00
cdc.gov/nhsn/index.html,"91,482","80,153",00:02:38,"69,259",51.15%,63.25%,$0.00
cdc.gov/rsv/index.html,"90,919","77,468",00:01:08,"73,775",51.57%,52.72%,$0.00
cdc.gov/std/spanish/vph/stdfact-hpv-and-men-s.htm,"90,210","83,465",00:06:16,"79,543",88.70%,87.91%,$0.00
phil.cdc.gov/phil/quicksearch.asp,"89,604","9,363",00:00:19,873,28.51%,4.52%,$0.00
auth.cdc.gov/siteminderagent/forms/login.fcc?type=33554433&realmoid=06-2e4e428f-8768-4f65-a66d-911e49413d9e&guid=&smauthreason=0&method=get&smagentname=-sm-gmb5ayj8jxq+rwo0tsuflfp+gx0dts0wlfomnlhk+a09v/qvjsytgye9vlvkqcrt&target=-sm-https://sams.cdc.gov/,"87,023","72,814",00:00:57,"64,922",30.78%,31.28%,$0.00
cdc.gov/std/spanish/vph/stdfact-hpv-s.htm,"85,203","76,706",00:06:17,"72,068",84.38%,82.76%,$0.00
cdc.gov/tobacco/data_statistics/fact_sheets/health_effects/effects_cig_smoking/index.html,"85,052","72,480",00:05:35,"68,894",80.69%,78.19%,$0.00
cdc.gov/std/hpv/stdfact-hpv-and-men.htm,"84,283","77,996",00:04:49,"66,130",82.87%,79.04%,$0.00
cdc.gov/std/pid/stdfact-pid.htm,"84,198","78,107",00:04:04,"67,956",85.50%,80.48%,$0.00
espanol.cdc.gov/enes/flu/about/disease/complications.htm?mobile=nocontent,"82,907","76,535",00:03:49,"75,243",68.09%,67.56%,$0.00
cdc.gov/zika/symptoms/index.html,"82,021","65,961",00:00:39,"27,886",33.46%,21.58%,$0.00
cdc.gov/vaccines/schedules/easy-to-read/child.html,"81,875","72,727",00:02:50,"29,090",27.65%,58.93%,$0.00
cdc.gov/features/norovirus/index.html,"80,579","74,883",00:03:54,"63,352",82.27%,77.53%,$0.00
cdc.gov/flu/keyfacts.htm,"79,953","70,607",00:02:50,"52,315",69.86%,60.09%,$0.00
cdc.gov/zika/symptoms/symptoms.html,"79,375","71,454",00:02:19,"39,084",68.73%,56.87%,$0.00
cdc.gov/std/herpes/stdfact-herpes-detailed.htm,"78,825","73,441",00:06:26,"63,033",88.57%,84.98%,$0.00
cdc.gov/spanish/especialescdc/sintomastuberculosis/index.html,"78,465","70,060",00:05:04,"67,379",81.00%,78.83%,$0.00
cdc.gov/hpv/parents/whatishpv.html,"77,870","68,992",00:02:52,"50,177",71.65%,63.22%,$0.00
cdc.gov/zika/pregnancy/index.html,"77,275","63,850",00:01:00,"23,598",31.71%,21.86%,$0.00
search.cdc.gov/search?subset=&utf8=✓&affiliate=cdc-main&sitelimit=,"76,798","67,199",00:01:33,"64,474",8.76%,63.76%,$0.00
cdc.gov/mumps/index.html,"75,576","60,774",00:00:52,"56,486",35.26%,38.63%,$0.00
cdc.gov/hand-foot-mouth/index.html,"75,236","61,944",00:01:06,"59,222",45.85%,50.38%,$0.00
cdc.gov/vaccines/hcp/vis/vis-statements/tdap.html,"74,960","70,045",00:03:39,"48,466",70.47%,75.75%,$0.00
cdc.gov/flu/about/disease/index.htm,"74,521","57,090",00:00:40,"4,066",43.62%,13.13%,$0.00
cdc.gov/reproductivehealth/data_stats/abortion.htm,"74,223","63,797",00:02:38,"52,542",72.80%,69.60%,$0.00
cdc.gov/parasites/lice/head/treatment.html,"71,019","65,471",00:05:15,"55,048",89.79%,83.66%,$0.00
espanol.cdc.gov/enes/flu/takingcare.htm?mobile=nocontent,"70,709","64,697",00:03:44,"63,785",72.08%,71.14%,$0.00
cdc.gov/flu/weekly/fluactivitysurv.htm,"68,440","51,048",00:00:28,"25,749",11.91%,13.12%,$0.00
cdc.gov/co/faqs.htm,"67,140","62,975",00:05:20,"62,135",92.01%,91.06%,$0.00
cdc.gov/features/strepthroat/index.html,"66,723","63,494",00:04:44,"62,040",91.61%,90.47%,$0.00
cdc.gov/zika/intheus/florida-maps.html,"65,744","55,415",00:01:30,"8,745",58.53%,40.69%,$0.00
cdc.gov/std/spanish/tricomoniasis/stdfact-trichomoniasis-s.htm,"64,982","59,050",00:06:05,"54,235",86.88%,84.70%,$0.00
cdc.gov/zika/geo/united-states.html,"64,879","55,366",00:01:58,"24,188",57.87%,41.25%,$0.00
cdc.gov/vaccines/schedules/hcp/adult.html,"64,713","45,398",00:01:12,"14,108",25.66%,27.69%,$0.00
gettested.cdc.gov/index.html,"63,474","47,864",00:00:41,"44,162",22.80%,29.07%,$0.00
cdc.gov/epstein-barr/about-ebv.html,"63,137","57,829",00:03:32,"51,770",84.66%,80.48%,$0.00
gettested.cdc.gov/search_results,"62,674","39,449",00:01:28,"12,885",52.44%,33.55%,$0.00
cdc.gov/hpv/parents/vaccine.html,"62,564","55,725",00:02:44,"45,136",67.18%,63.31%,$0.00
cdc.gov/tb/publications/factsheets/testing/skintesting.htm,"61,864","56,899",00:04:47,"53,021",82.63%,81.80%,$0.00
cdc.gov/reproductivehealth/data_stats/index.html,"61,714","50,940",00:02:05,"44,977",63.64%,61.10%,$0.00
cdc.gov/hand-foot-mouth/about/index.html,"60,473","37,176",00:00:17,"7,953",28.82%,12.67%,$0.00
cdc.gov/motorvehiclesafety/child_passenger_safety/cps-factsheet.html,"60,473","54,582",00:02:13,"53,385",87.62%,86.52%,$0.00
cdc.gov/meningitis/viral.html,"59,663","53,245",00:03:17,"42,261",81.09%,72.74%,$0.00
cdc.gov/healthyweight/assessing/bmi/adult_bmi/index.html,"59,528","53,015",00:02:09,"33,760",80.71%,68.69%,$0.00
cdc.gov/growthcharts/who_charts.htm,"58,370","47,845",00:02:51,"31,778",33.93%,60.62%,$0.00
cdc.gov/lyme/signs_symptoms/index.html,"58,087","49,898",00:02:10,"23,967",73.50%,54.03%,$0.00
cdc.gov/features/tbsymptoms/index.html,"57,694","51,832",00:04:09,"49,423",79.87%,77.55%,$0.00
cdc.gov/flu/about/qa/coldflu.htm,"57,435","51,979",00:01:55,"45,624",72.10%,68.21%,$0.00
cdc.gov/flu/about/disease/spread.htm,"57,152","52,133",00:02:49,"34,681",76.57%,62.84%,$0.00
cdc.gov/std/spanish/clamidia/stdfact-chlamydia-s.htm,"56,786","52,212",00:05:17,"44,993",85.41%,80.09%,$0.00
cdc.gov/flu/antivirals/index.htm,"56,428","45,958",00:00:59,"3,183",57.02%,28.08%,$0.00
cdc.gov/rotavirus/index.html,"56,388","45,480",00:00:45,"41,450",31.72%,37.28%,$0.00
jobs.cdc.gov/index.html,"56,102","42,569",00:00:46,"30,614",18.85%,22.11%,$0.00
nccd.cdc.gov/dnpabmi/calculator.aspx?calculatortype=metric,"55,858","20,714",00:00:55,"7,771",18.69%,8.61%,$0.00
cdc.gov/std/spanish/vb/stdfact-bacterial-vaginosis-s.htm,"55,446","50,244",00:04:56,"47,958",86.53%,84.49%,$0.00
cdc.gov/growthcharts/clinical_charts.htm,"55,397","44,954",00:03:41,"16,525",45.27%,59.05%,$0.00
cdc.gov/nchs/fastats/deaths.htm,"54,974","46,501",00:02:38,"34,851",60.01%,59.40%,$0.00
cdc.gov/growthcharts/index.html,"54,756","44,061",00:00:30,"38,874",23.11%,28.86%,$0.00
cdc.gov/shingles/about/transmission.html,"54,451","46,479",00:02:29,"35,591",78.23%,65.86%,$0.00
cdc.gov/adenovirus/about/symptoms.html,"54,382","40,995",00:01:00,"29,715",58.55%,49.75%,$0.00
cdc.gov/std/index.html,"54,311","43,220",00:01:09,"23,142",46.81%,33.82%,$0.00
cdc.gov/vaccines/hcp/vis/vis-statements/hep-b.html,"54,287","50,027",00:03:16,"33,551",62.39%,67.24%,$0.00
cdc.gov/mumps/about/index.html,"54,235","34,815",00:00:13,"3,994",30.34%,9.42%,$0.00
cdc.gov/spanish/especialescdc/escarlatina/index.html,"54,235","51,053",00:06:46,"50,661",94.02%,93.22%,$0.00
cdc.gov/salmonella/index.html,"54,134","39,876",00:01:19,"30,750",38.32%,34.52%,$0.00
cdc.gov/flu/about/qa/vaccineeffect.htm,"53,444","48,454",00:03:09,"31,459",74.14%,65.66%,$0.00
cdc.gov/flu/about/viruses/types.htm,"53,398","48,552",00:02:59,"39,515",68.14%,64.20%,$0.00
cdc.gov/spanish/cancer/breast/basic_info/symptoms.htm,"52,363","45,529",00:03:23,"44,912",78.21%,80.56%,$0.00
cdc.gov/vaccines/vac-gen/side-effects.htm,"52,282","47,856",00:03:34,"35,982",81.63%,72.52%,$0.00
cdc.gov/mmwr/index.html,"52,238","40,885",00:01:10,"22,067",44.00%,33.50%,$0.00
cdc.gov/obesity/data/adult.html,"51,233","39,557",00:03:17,"27,050",52.44%,49.58%,$0.00
cdc.gov/vaccines/schedules/hcp/imz/adult.html,"49,658","44,540",00:03:25,"22,927",75.96%,66.89%,$0.00
cdc.gov/datastatistics/index.html,"48,869","36,039",00:00:55,"11,437",36.76%,25.64%,$0.00
cdc.gov/vaccines/vpd/shingles/public/index.html,"48,493","44,757",00:04:43,"39,867",81.11%,81.61%,$0.00
cdc.gov/rotavirus/about/symptoms.html,"48,124","41,972",00:01:37,"20,008",70.44%,50.75%,$0.00
cdc.gov/vaccines/hcp/vis/vis-statements/flu.html,"47,998","44,063",00:03:03,"17,822",25.74%,69.88%,$0.00
auth.cdc.gov/entrustidentityguard/authenticate/login?type=33554432&realmoid=06-ea6e81f5-e1f2-4c33-8ca7-146d7d1d7947&guid=&smauthreason=0&method=get&smagentname=-sm-gmb5ayj8jxq+rwo0tsuflfp+gx0dts0wlfomnlhk+a09v/qvjsytgye9vlvkqcrt&target=-sm-https://sams.cdc.gov/gridgateway/index.asp?https://sams.cdc.gov/,"47,850","44,445",00:00:40,"2,913",6.91%,2.82%,$0.00
search.cdc.gov/search?subset=niosh&utf8=✓&affiliate=cdc-main&sitelimit=www.cdc.gov/niosh+|+blogs.cdc.gov/niosh-science-blog/,"47,511","41,168",00:01:24,"39,379",16.09%,62.33%,$0.00
cdc.gov/hiv/basics/transmission.html,"46,920","40,560",00:04:05,"31,854",79.95%,68.24%,$0.00
cdc.gov/rsv/about/index.html,"46,889","32,286",00:00:14,"2,927",40.61%,9.45%,$0.00
search.cdc.gov/search?subset=nchs&utf8=✓&affiliate=cdc-main&sitelimit=www.cdc.gov/nchs/,"46,795","38,210",00:01:26,"36,916",18.36%,53.81%,$0.00
cdc.gov/ecoli/index.html,"46,778","36,407",00:01:35,"29,999",54.20%,46.63%,$0.00
cdc.gov/violenceprevention/acestudy/index.html,"46,642","32,797",00:01:03,"30,256",36.10%,35.40%,$0.00
cdc.gov/mumps/about/signs-symptoms.html,"46,257","40,738",00:01:30,"14,655",73.12%,46.17%,$0.00
cdc.gov/nchs/index.html,"46,237","35,685",00:01:10,"28,584",42.20%,39.92%,$0.00
cdc.gov/cmv/index.html,"46,114","37,536",00:00:51,"34,560",31.87%,36.27%,$0.00
cdc.gov/poxvirus/molluscum-contagiosum/index.html,"46,023","30,852",00:00:54,"29,425",33.52%,34.32%,$0.00
cdc.gov/listeria/index.html,"45,965","32,199",00:00:57,"26,837",27.91%,27.64%,$0.00
search.cdc.gov/search?utf8=✓&affiliate=cdc-main&commit=search,"45,886","33,510",00:01:25,838,33.03%,40.14%,$0.00
cdc.gov/pertussis/index.html,"45,868","38,911",00:01:23,"34,001",46.23%,44.04%,$0.00
cdc.gov/spanish/especialescdc/conjuntivitis/index.html,"45,791","41,644",00:03:39,"40,694",85.23%,84.63%,$0.00
cdc.gov/mrsa/index.html,"45,731","34,686",00:01:17,"27,492",52.99%,44.22%,$0.00
cdc.gov/malaria/index.html,"45,205","36,782",00:01:43,"28,656",40.80%,38.28%,$0.00
cdc.gov/diseasesconditions/az/a.html,"44,950","32,484",00:00:57,"25,063",33.18%,30.08%,$0.00
cdc.gov/parasites/scabies/gen_info/faqs.html,"44,775","40,375",00:05:29,"36,899",88.16%,83.75%,$0.00
cdc.gov/flu/antivirals/whatyoushould.htm,"44,609","41,717",00:03:43,"18,891",83.91%,68.17%,$0.00
cdc.gov/healthyschools/obesity/facts.htm,"43,940","36,666",00:04:33,"32,171",70.63%,66.25%,$0.00
cdc.gov/vaccinesafety/concerns/autism.html,"43,914","37,496",00:05:17,"33,495",76.21%,75.25%,$0.00
cdc.gov/flu/professionals/acip/clinical.htm,"43,860","41,434",00:04:20,"35,678",82.58%,79.17%,$0.00
cdc.gov/hpv/parents/questions-answers.html,"43,767","40,357",00:03:40,"19,898",80.07%,66.92%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-2yr.html,"43,756","38,914",00:03:15,"23,445",71.99%,60.84%,$0.00
cdc.gov/niosh/index.html,"43,064","34,984",00:01:27,"27,232",58.67%,49.88%,$0.00
cdc.gov/vaccines/vpd/pneumo/index.html,"42,893","35,223",00:01:23,"23,923",45.16%,39.39%,$0.00
cdc.gov/vaccines/ed/youcalltheshots.htm,"42,822","20,142",00:00:17,"14,090",3.27%,3.17%,$0.00
cdc.gov/std/chlamydia/stdfact-chlamydia-detailed.htm,"42,248","39,439",00:05:50,"30,170",86.40%,80.56%,$0.00
cdc.gov/tobacco/campaign/tips/quit-smoking/index.html,"42,212","35,225",00:01:15,"34,368",64.31%,66.70%,$0.00
cdc.gov/features/conjunctivitis/index.html,"41,824","39,089",00:03:05,"37,107",84.63%,83.17%,$0.00
search.cdc.gov/search?subset=&utf8=✓&affiliate=cdc-main,"41,406","37,463",00:01:34,"34,834",6.70%,68.71%,$0.00
cdc.gov/std/chlamydia/default.htm,"41,378","29,893",00:00:35,"3,950",35.71%,17.27%,$0.00
cdc.gov/tb/index.html,"40,726","31,799",00:00:53,"23,914",26.54%,25.47%,$0.00
cdc.gov/flu/weekly/summary.htm,"40,440","37,077",00:01:34,"19,429",55.16%,44.56%,$0.00
cdc.gov/zika/prevention/index.html,"40,399","33,270",00:01:12,"13,827",46.14%,28.01%,$0.00
cdc.gov/ncbddd/blooddisorders/women/menorrhagia.html,"40,362","38,274",00:07:08,"38,131",91.03%,93.13%,$0.00
cdc.gov/heartdisease/facts.htm,"40,204","33,302",00:03:37,"25,733",67.22%,60.60%,$0.00
cdc.gov/hiv/basics/prep.html,"39,766","36,539",00:04:37,"32,026",79.96%,80.43%,$0.00
cdc.gov/growthcharts/cdc_charts.htm,"39,739","31,289",00:00:28,"7,828",18.92%,17.15%,$0.00
cdc.gov/tb/topic/basics/default.htm,"39,718","24,823",00:00:47,"3,425",33.02%,11.96%,$0.00
cdc.gov/nchs/icd/icd10cm.htm,"39,601","27,357",00:03:01,"24,415",51.39%,63.80%,$0.00
cdc.gov/chikungunya/symptoms/index.html,"39,539","34,866",00:03:20,"28,240",79.40%,72.00%,$0.00
cdc.gov/rotavirus/about/index.html,"39,523","24,604",00:00:11,"1,845",38.78%,7.80%,$0.00
cdc.gov/mmwr/volumes/65/rr/rr6501e1.htm,"38,859","32,606",00:04:19,"21,934",75.73%,69.16%,$0.00
cdc.gov/hepatitis/hbv/bfaq.htm,"38,196","33,693",00:04:53,"25,708",80.80%,73.65%,$0.00
cdc.gov/vaccines/hcp/vis/vis-statements/mmr.html,"37,778","35,078",00:03:17,"22,902",67.98%,66.47%,$0.00
cdc.gov/other/plugins/index.html,"37,615","33,204",00:00:45,"4,660",61.76%,23.55%,$0.00
cdc.gov/malaria/travelers/drugs.html,"37,555","32,729",00:03:01,"28,558",71.96%,68.13%,$0.00
cdc.gov/parvovirusb19/fifth-disease.html,"37,466","33,856",00:03:34,"29,443",82.95%,78.72%,$0.00
cdc.gov/healthyweight/assessing/bmi/childrens_bmi/about_childrens_bmi.html,"37,427","32,235",00:01:53,"24,108",43.29%,52.87%,$0.00
cdc.gov/flu/avianflu/influenza-a-virus-subtypes.htm,"37,317","33,919",00:02:45,"30,865",70.19%,67.79%,$0.00
cdc.gov/healthyweight/assessing/bmi/adult_bmi/metric_bmi_calculator/bmi_calculator.html,"37,062","19,617",00:01:24,"4,616",58.54%,33.61%,$0.00
cdc.gov/rsv/about/transmission.html,"36,846","33,487",00:02:34,"18,928",83.63%,66.41%,$0.00
cdc.gov/flu/about/qa/misconceptions.htm,"36,796","34,671",00:04:17,"28,085",82.93%,78.24%,$0.00
cdc.gov/concussion/headsup/training/index.html,"36,686","32,720",00:06:21,"18,864",84.73%,82.14%,$0.00
cdc.gov/parasites/lice/head/gen_info/faqs.html,"36,555","32,879",00:04:34,"28,639",68.10%,75.05%,$0.00
cdc.gov/pertussis/about/signs-symptoms.html,"36,539","32,589",00:03:15,"21,317",76.05%,61.88%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-6mo.html,"36,363","32,356",00:02:43,"17,797",77.58%,58.54%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-3yr.html,"36,096","32,040",00:03:18,"18,609",71.32%,60.27%,$0.00
cdc.gov/vaccinesafety/vaccines/mmr-vaccine.html,"35,628","31,764",00:03:06,"27,341",67.52%,65.82%,$0.00
cdc.gov/vaccines/hcp/vis/vis-statements/pcv13.html,"35,616","32,817",00:02:34,"16,080",48.28%,61.34%,$0.00
cdc.gov/importation/bringing-an-animal-into-the-united-states/dogs.html,"35,536","28,132",00:02:59,"23,825",56.72%,60.61%,$0.00
cdc.gov/zika/transmission/index.html,"35,360","30,634",00:02:45,"10,177",59.89%,37.89%,$0.00
cdc.gov/handwashing/when-how-handwashing.html,"35,282","29,935",00:02:44,"19,034",78.59%,61.45%,$0.00
cdc.gov/cmv/overview.html,"35,200","31,443",00:02:37,"10,670",79.82%,62.98%,$0.00
cdc.gov/std/chlamydia/treatment.htm,"35,091","30,792",00:01:36,"21,790",53.27%,47.15%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-4mo.html,"35,025","31,291",00:02:43,"17,380",78.37%,57.00%,$0.00
cdc.gov/std/syphilis/stdfact-syphilis-detailed.htm,"35,004","31,996",00:05:32,"25,440",82.80%,77.11%,$0.00
cdc.gov/outbreaks/index.html,"34,707","26,883",00:01:18,"15,234",47.16%,40.59%,$0.00
cdc.gov/leptospirosis/index.html,"34,684","23,043",00:00:56,"19,862",38.36%,34.34%,$0.00
cdc.gov/spanish/especialescdc/enfermedadmanospiesboca/index.html,"34,526","31,937",00:06:04,"31,554",91.70%,90.67%,$0.00
cdc.gov/hepatitis/hbv/hbvfaq.htm,"34,351","29,044",00:03:48,"16,792",73.95%,62.85%,$0.00
cdc.gov/fungal/diseases/index.html,"34,277","26,192",00:01:59,"20,256",68.34%,53.25%,$0.00
cdc.gov/obesity/index.html,"34,229","25,440",00:00:51,"12,514",30.88%,22.05%,$0.00
cdc.gov/hepatitis/hav/afaq.htm,"34,081","30,467",00:04:43,"25,216",79.37%,75.27%,$0.00
cdc.gov/hpv/index.html,"33,879","27,329",00:01:01,"11,910",35.22%,31.64%,$0.00
cdc.gov/yellowfever/index.html,"33,817","25,268",00:01:39,"20,699",42.24%,37.83%,$0.00
cdc.gov/chickenpox/about/prevention-treatment.html,"33,583","28,894",00:03:09,"21,767",75.31%,65.93%,$0.00
cdc.gov/zika/symptoms/diagnosis.html,"33,582","29,849",00:02:37,"12,413",54.22%,46.46%,$0.00
cdc.gov/std/tg2015/chlamydia.htm,"33,330","30,674",00:03:53,"14,945",81.62%,70.77%,$0.00
cdc.gov/zika/about/overview.html,"33,264","28,165",00:02:45,"3,451",65.46%,35.46%,$0.00
cdc.gov/std/herpes/default.htm,"33,184","23,960",00:00:36,"2,965",36.76%,19.02%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-2mo.html,"33,050","28,542",00:02:23,"11,395",70.32%,42.83%,$0.00
cdc.gov/vaccines/parents/index.html,"32,681","26,314",00:00:48,"3,466",43.53%,20.92%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-1yr.html,"32,678","28,815",00:02:58,"14,451",73.04%,54.90%,$0.00
cdc.gov/flu/professionals/antivirals/summary-clinicians.htm,"32,644","28,430",00:03:40,"19,965",72.38%,69.32%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-18mo.html,"32,619","29,183",00:02:46,"16,576",75.73%,59.94%,$0.00
cdc.gov/teenpregnancy/about/index.html,"32,468","28,148",00:05:44,"26,963",80.15%,78.30%,$0.00
espanol.cdc.gov/enes/flu/about/disease/complications.htm,"32,442","27,685",00:03:13,"9,305",64.40%,56.56%,$0.00
cdc.gov/vaccines/schedules/hcp/imz/catchup.html,"32,208","26,707",00:03:26,"15,965",73.57%,64.04%,$0.00
cdc.gov/physicalactivity/basics/adults/index.htm,"32,037","25,819",00:03:38,"17,617",72.90%,58.43%,$0.00
cdc.gov/rsv/about/symptoms.html,"31,940","28,727",00:01:30,"6,382",85.86%,47.19%,$0.00
cdc.gov/ncbddd/birthdefects/microcephaly.html,"31,687","28,739",00:03:57,"23,691",82.46%,74.03%,$0.00
cdc.gov/obesity/adult/defining.html,"31,539","26,119",00:02:06,"22,285",68.14%,60.92%,$0.00
cdc.gov/headsup/youthsports/training/index.html,"31,501","24,881",00:01:31,"14,726",40.02%,32.81%,$0.00
