"","page","mobiledevicename","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","::unspecified::",189816,"",""
"32","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 (SGH-I337M)",392,"",""
"33","Areas with Zika | Zika virus | CDC","Sprint Galaxy S5 (SM-G900P)",392,"",""
"34","Areas with Zika | Zika virus | CDC","T-Mobile Galaxy S7 edge (SM-G935T)",389,"",""
"35","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 (SM-G920T)",387,"",""
"36","Areas with Zika | Zika virus | CDC","Google Pixel XL",371,"",""
"37","Areas with Zika | Zika virus | CDC","Verizon Galaxy Note 4 (SM-N910V)",367,"",""
"38","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925W8)",362,"",""
"39","Areas with Zika | Zika virus | CDC","Verizon Galaxy S6 Edge (SM-G925V)",352,"",""
"40","Areas with Zika | Zika virus | CDC","Motorola Moto G (XT1032)",348,"",""
"41","Areas with Zika | Zika virus | CDC","LG G4 (H812)",347,"",""
"42","Areas with Zika | Zika virus | CDC","Verizon Galaxy S4 (SCH-I545)",331,"",""
"43","Areas with Zika | Zika virus | CDC","Samsung SM-G903W",324,"",""
"44","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 (SM-G900T)",281,"",""
"45","Areas with Zika | Zika virus | CDC","Sprint Galaxy S7 edge (SM-G935P)",274,"",""
"46","Areas with Zika | Zika virus | CDC","LG G3 (D852)",251,"",""
"47","Areas with Zika | Zika virus | CDC","AT&T Galaxy S6 Active (SM-G890A)",237,"",""
"48","Areas with Zika | Zika virus | CDC","OnePlus One (A0001)",234,"",""
"49","Areas with Zika | Zika virus | CDC","Sony Xperia Z3 Compact (D5803)",221,"",""
"50","Areas with Zika | Zika virus | CDC","T-Mobile Galaxy Note 5 (SM-N920T)",208,"",""
"51","Areas with Zika | Zika virus | CDC","Google Nexus 6",203,"",""
"52","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920W8)",202,"",""
"53","Areas with Zika | Zika virus | CDC","Sprint Galaxy Note 5 (SM-N920P)",198,"",""
"54","Areas with Zika | Zika virus | CDC","Samsung Galaxy A3 (SM-A300FU)",197,"",""
"55","Areas with Zika | Zika virus | CDC","Motorola Moto G (3rd Gen)",196,"",""
"56","Areas with Zika | Zika virus | CDC","HTC One M8",195,"",""
"57","Areas with Zika | Zika virus | CDC","Motorola Moto Z (XT1650)",194,"",""
"58","Areas with Zika | Zika virus | CDC","BlackBerry Priv (STV100)",192,"",""
"59","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920A)",189,"",""
"60","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928V)",188,"",""
"61","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910W8)",188,"",""
"62","Areas with Zika | Zika virus | CDC","T-Mobile Galaxy S6 Edge (SM-G925T)",186,"",""
"63","Areas with Zika | Zika virus | CDC","Motorola DROID Ultra 4G LTE (XT1080)",184,"",""
"64","Areas with Zika | Zika virus | CDC","Samsung Galaxy S7 Active (SM-G891A)",182,"",""
"65","Areas with Zika | Zika virus | CDC","Google Nexus 7",163,"",""
"66","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab A (SM-T550)",151,"",""
"67","Areas with Zika | Zika virus | CDC","Verizon G3 (VS985)",149,"",""
"68","Areas with Zika | Zika virus | CDC","Samsung Galaxy A3 (SM-A310F)",149,"",""
"69","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 (SM-T530nu)",149,"",""
"70","Areas with Zika | Zika virus | CDC","HTC One M9",147,"",""
"71","Areas with Zika | Zika virus | CDC","Sony Xperia Z5 Compact (E5823)",146,"",""
"72","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925A)",144,"",""
"73","Areas with Zika | Zika virus | CDC","LG G5 (H831)",143,"",""
"74","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab E Nook (SM-T560NU)",138,"",""
"75","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 LTE (GT-I9505)",137,"",""
"76","Areas with Zika | Zika virus | CDC","AT&T Galaxy Note 4 (SM-N910A)",133,"",""
"77","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab S (SM-T800)",131,"",""
"78","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 Neo (SM-G903F)",131,"",""
"79","Areas with Zika | Zika virus | CDC","Motorola Moto X Pure Edition (XT1575)",130,"",""
"80","Areas with Zika | Zika virus | CDC","Samsung Galaxy J5 (SM-J500FN)",130,"",""
"81","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 (SM-T350)",129,"",""
"82","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab S2 9.7 (SM-T810)",129,"",""
"83","Areas with Zika | Zika virus | CDC","Amazon Fire (2015)",129,"",""
"84","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 3 (SM-N900W8)",128,"",""
"85","Areas with Zika | Zika virus | CDC","LG G4 (VS986)",128,"",""
"86","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 Mini (SM-G800F)",127,"",""
"87","Areas with Zika | Zika virus | CDC","Sony Xperia Z3 (D6603)",122,"",""
"88","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 (SM-G920I)",121,"",""
"89","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 Mini (GT-I9195)",121,"",""
"90","Areas with Zika | Zika virus | CDC","Apple iPod Touch",119,"",""
"91","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 (SM-G900I)",118,"",""
"92","Areas with Zika | Zika virus | CDC","BlackBerry Q10",116,"",""
"93","Areas with Zika | Zika virus | CDC","T-Mobile Galaxy J7 (SM-J700T)",116,"",""
"94","Areas with Zika | Zika virus | CDC","Huawei P9 (EVA-L09)",115,"",""
"95","Areas with Zika | Zika virus | CDC","OnePlus A3003",113,"",""
"96","Areas with Zika | Zika virus | CDC","LG G4 (H815)",112,"",""
"97","Areas with Zika | Zika virus | CDC","OnePlus A3000",106,"",""
"98","Areas with Zika | Zika virus | CDC","Verizon G5 (VS987)",105,"",""
"99","Areas with Zika | Zika virus | CDC","Samsung Galaxy A5 (SM-A500FU)",104,"",""
"100","Areas with Zika | Zika virus | CDC","US Cellular Galaxy S5 (SM-G900R4)",103,"",""
"101","Areas with Zika | Zika virus | CDC","Sprint Galaxy S6 Edge (SM-G925P)",103,"",""
"102","Areas with Zika | Zika virus | CDC","T-Mobile Galaxy Note 4 (SM-N910T)",102,"",""
"103","Areas with Zika | Zika virus | CDC","AT&T Galaxy S5 Active (SM-G870A)",101,"",""
"104","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 (SM-G920R4)",100,"",""
"105","Areas with Zika | Zika virus | CDC","US Cellular Galaxy S7 (SM-G930R4)",98,"",""
"106","Areas with Zika | Zika virus | CDC","Amazon Fire HD 8 (2016)",98,"",""
"107","Areas with Zika | Zika virus | CDC","AT&T Galaxy S4 (SGH-I337)",96,"",""
"108","Areas with Zika | Zika virus | CDC","Sony Xperia Z5 (E6653)",94,"",""
"109","Areas with Zika | Zika virus | CDC","LG G3 (D855)",92,"",""
"110","Areas with Zika | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-G530W)",91,"",""
"111","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 3 4G LTE (SM-N9005)",89,"",""
"112","Areas with Zika | Zika virus | CDC","Huawei P8 Lite (ALE-L21)",88,"",""
"113","Areas with Zika | Zika virus | CDC","T-Mobile Galaxy S4 (SGH-M919)",87,"",""
"114","Areas with Zika | Zika virus | CDC","Unknown Generic Android Tablet",84,"",""
"115","Areas with Zika | Zika virus | CDC","Samsung Galaxy A5 (SM-A510F)",84,"",""
"116","Areas with Zika | Zika virus | CDC","Unknown Generic Windows RT Tablet",81,"",""
"117","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab A 10.1 (SM-T580)",80,"",""
"118","Areas with Zika | Zika virus | CDC","Motorola Droid Maxx 2 (XT1565)",80,"",""
"119","Areas with Zika | Zika virus | CDC","BlackBerry Z10",75,"",""
"120","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 3 (SM-N900V)",75,"",""
"121","Areas with Zika | Zika virus | CDC","Motorola DROID Mini 4G LTE (XT1030)",75,"",""
"122","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910F)",74,"",""
"123","Areas with Zika | Zika virus | CDC","Samsung Galaxy Core LTE (SM-G386W)",73,"",""
"124","Areas with Zika | Zika virus | CDC","Motorola Moto X Play (XT1563)",71,"",""
"125","Areas with Zika | Zika virus | CDC","Amazon Kindle Fire HDX 7",71,"",""
"126","Areas with Zika | Zika virus | CDC","HTC 10 (2PS6500)",71,"",""
"127","Areas with Zika | Zika virus | CDC","Verizon HTC One M8 (6525LVW)",69,"",""
"128","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 (SM-G901F)",69,"",""
"129","Areas with Zika | Zika virus | CDC","LG V10 (VS990)",69,"",""
"130","Areas with Zika | Zika virus | CDC","HTC One",68,"",""
"131","Areas with Zika | Zika virus | CDC","Sprint Galaxy Note 4 (SM-N910P)",68,"",""
"132","Areas with Zika | Zika virus | CDC","Google Nexus 4 (E960)",67,"",""
"133","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab S2 (SM-T813)",67,"",""
"134","Areas with Zika | Zika virus | CDC","Sony Xperia Z2 (D6503)",65,"",""
"135","Areas with Zika | Zika virus | CDC","Samsung Galaxy Alpha (SM-G850F)",64,"",""
"136","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 3 (SM-N900T)",64,"",""
"137","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab S2 (SM-T710)",63,"",""
"138","Areas with Zika | Zika virus | CDC","Sprint G5 (LS992)",63,"",""
"139","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 Active (SM-G870W)",62,"",""
"140","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 LTE (SM-T530)",62,"",""
"141","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928T)",60,"",""
"142","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925I)",60,"",""
"143","Areas with Zika | Zika virus | CDC","Huawei P9 Lite (VNS-L31)",59,"",""
"144","Areas with Zika | Zika virus | CDC","OnePlus OnePlus Two (A2005)",59,"",""
"145","Areas with Zika | Zika virus | CDC","Verizon Galaxy J3 (SM-J320VPP)",59,"",""
"146","Areas with Zika | Zika virus | CDC","AT&T Galaxy S6 Edge+ (SM-G928A)",58,"",""
"147","Areas with Zika | Zika virus | CDC","T-Mobile Galaxy Grand Prime (SM-G530T)",58,"",""
"148","Areas with Zika | Zika virus | CDC","Sony Xperia Z1 Compact (D5503)",57,"",""
"149","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928F)",57,"",""
"150","Areas with Zika | Zika virus | CDC","Verizon Galaxy Core Prime (SM-G360V)",55,"",""
"151","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 3 (SM-T310)",55,"",""
"152","Areas with Zika | Zika virus | CDC","T-Mobile Galaxy Avant (SM-G386T)",54,"",""
"153","Areas with Zika | Zika virus | CDC","Motorola Moto Z (XT1635-01)",53,"",""
"154","Areas with Zika | Zika virus | CDC","Motorola Moto E2",53,"",""
"155","Areas with Zika | Zika virus | CDC","AT&T Galaxy Note 3 (SM-N900A)",52,"",""
"156","Areas with Zika | Zika virus | CDC","Huawei Honor 7 (PLK-L01)",52,"",""
"157","Areas with Zika | Zika virus | CDC","Microsoft Lumia 640 LTE (RM-1075)",51,"",""
"158","Areas with Zika | Zika virus | CDC","Samsung Galaxy Grand Prime Duos (SM-G530AZ)",51,"",""
"159","Areas with Zika | Zika virus | CDC","Samsung Galaxy S3 (SGH-I747M)",50,"",""
"160","Areas with Zika | Zika virus | CDC","Sprint Galaxy J3 (SM-J320P)",50,"",""
"161","Areas with Zika | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G361F)",50,"",""
"162","Areas with Zika | Zika virus | CDC","Amazon Kindle Fire HD",49,"",""
"163","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab S 8.4 (SM-T700)",49,"",""
"164","Areas with Zika | Zika virus | CDC","AT&T G5 (H820)",49,"",""
"165","Areas with Zika | Zika virus | CDC","Samsung Galaxy J3 (SM-J320A)",49,"",""
"166","Areas with Zika | Zika virus | CDC","Amazon Fire HD 7",48,"",""
"167","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 Mini LTE (SCH-I435)",48,"",""
"168","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 4 (SM-T230NU)",48,"",""
"169","Areas with Zika | Zika virus | CDC","T-Mobile G4 (H811)",48,"",""
"170","Areas with Zika | Zika virus | CDC","Sprint Galaxy S4 (SPH-L720T)",47,"",""
"171","Areas with Zika | Zika virus | CDC","Samsung Galaxy A5 (SM-A500W)",47,"",""
"172","Areas with Zika | Zika virus | CDC","Verizon Moto X 2nd Gen (XT1096)",47,"",""
"173","Areas with Zika | Zika virus | CDC","Sprint Galaxy S4 (SPH-L720)",45,"",""
"174","Areas with Zika | Zika virus | CDC","T-Mobile G5 (H830)",45,"",""
"175","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 (GT-I9506)",45,"",""
"176","Areas with Zika | Zika virus | CDC","LG K7 (MS330)",44,"",""
"177","Areas with Zika | Zika virus | CDC","Verizon 10 (6545LVW)",44,"",""
"178","Areas with Zika | Zika virus | CDC","Samsung Galaxy On5 LTE (SM-G550T)",44,"",""
"179","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab A (SM-P550)",44,"",""
"180","Areas with Zika | Zika virus | CDC","Samsung Galaxy J3 2016 Duos (SM-J320FN)",43,"",""
"181","Areas with Zika | Zika virus | CDC","HTC One M9 (6535LVW)",43,"",""
"182","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 3 (SM-N900P)",43,"",""
"183","Areas with Zika | Zika virus | CDC","Sprint G4 (LS991)",43,"",""
"184","Areas with Zika | Zika virus | CDC","ZTE Axon 7 (A2017U)",42,"",""
"185","Areas with Zika | Zika virus | CDC","AT&T V10 (H900)",41,"",""
"186","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 Mini (SGH-I257M)",41,"",""
"187","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 10.1 (SM-P600)",41,"",""
"188","Areas with Zika | Zika virus | CDC","AT&T G4 (H810)",41,"",""
"189","Areas with Zika | Zika virus | CDC","Sprint Galaxy S6 Edge+ (SM-G928P)",40,"",""
"190","Areas with Zika | Zika virus | CDC","Samsung Galaxy J5 (SM-J510FN)",40,"",""
"191","Areas with Zika | Zika virus | CDC","Asus ZenFone 2 (ZE551ML (Z00AD))",39,"",""
"192","Areas with Zika | Zika virus | CDC","Motorola Atrix HD (MB886)",39,"",""
"193","Areas with Zika | Zika virus | CDC","Motorola Moto X (XT1049)",39,"",""
"194","Areas with Zika | Zika virus | CDC","Google Nexus 9",39,"",""
"195","Areas with Zika | Zika virus | CDC","LG V10 (H901)",39,"",""
"196","Areas with Zika | Zika virus | CDC","Samsung Galaxy S7 (SM-G930U)",39,"",""
"197","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab Pro (SM-T320)",38,"",""
"198","Areas with Zika | Zika virus | CDC","Amazon Fire HD 10 (2015)",38,"",""
"199","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 3 10.1 (GT-P5210)",38,"",""
"200","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab Pro 10.1 (SM-T520)",38,"",""
"201","Areas with Zika | Zika virus | CDC","LG G Stylo (MS631)",37,"",""
"202","Areas with Zika | Zika virus | CDC","ZTE Zmax Pro (Z981)",37,"",""
"203","Areas with Zika | Zika virus | CDC","Motorola Moto X (XT1060)",37,"",""
"204","Areas with Zika | Zika virus | CDC","Motorola Moto X 2nd Gen (XT1094)",37,"",""
"205","Areas with Zika | Zika virus | CDC","Samsung Galaxy S7 edge (SM-G9350)",37,"",""
"206","Areas with Zika | Zika virus | CDC","Sony Xperia X (F5121)",37,"",""
"207","Areas with Zika | Zika virus | CDC","Samsung Galaxy On5 LTE (SM-G550T1)",37,"",""
"208","Areas with Zika | Zika virus | CDC","HTC Desire 626s",36,"",""
"209","Areas with Zika | Zika virus | CDC","LG G3 (D850)",36,"",""
"210","Areas with Zika | Zika virus | CDC","Samsung Galaxy S3 (SCH-I535)",35,"",""
"211","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928W8)",35,"",""
"212","Areas with Zika | Zika virus | CDC","LG V20 (H918)",35,"",""
"213","Areas with Zika | Zika virus | CDC","Verizon Ellipsis 8 (QTAQZ3)",34,"",""
"214","Areas with Zika | Zika virus | CDC","Huawei P8 Standard Edition (GRA-L09)",33,"",""
"215","Areas with Zika | Zika virus | CDC","OnePlus OnePlus Two (A2003)",33,"",""
"216","Areas with Zika | Zika virus | CDC","Samsung Galaxy S3 (GT-I9300)",32,"",""
"217","Areas with Zika | Zika virus | CDC","US Cellular Galaxy Note 5 (SM-N920R4)",32,"",""
"218","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab S2 (SM-T713)",32,"",""
"219","Areas with Zika | Zika virus | CDC","Sony X Compact (F5321)",32,"",""
"220","Areas with Zika | Zika virus | CDC","LG G2 (D802)",32,"",""
"221","Areas with Zika | Zika virus | CDC","Amazon Fire HD 6",32,"",""
"222","Areas with Zika | Zika virus | CDC","Samsung Galaxy J3 (2016) (SM-J320V)",31,"",""
"223","Areas with Zika | Zika virus | CDC","LG G2 (VS980)",31,"",""
"224","Areas with Zika | Zika virus | CDC","Amazon Kindle Fire",31,"",""
"225","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 5 LTE-A (SM-N920I)",31,"",""
"226","Areas with Zika | Zika virus | CDC","Samsung GALAXY J7 (SM-J700T1)",31,"",""
"227","Areas with Zika | Zika virus | CDC","Samsung Galaxy S3 Neo (GT-I9301I)",30,"",""
"228","Areas with Zika | Zika virus | CDC","Motorola Moto X 2nd Gen (XT1095)",30,"",""
"229","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910G)",30,"",""
"230","Areas with Zika | Zika virus | CDC","HTC One M8 Harmon/Kardon edition (831c)",30,"",""
"231","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 2 (GT-N7100)",29,"",""
"232","Areas with Zika | Zika virus | CDC","HTC One A9",29,"",""
"233","Areas with Zika | Zika virus | CDC","Verizon V20 (VS995)",29,"",""
"234","Areas with Zika | Zika virus | CDC","LG G3 (D851)",29,"",""
"235","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 2 LTE (SCH-I605)",29,"",""
"236","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910C)",28,"",""
"237","Areas with Zika | Zika virus | CDC","Microsoft Lumia 950 XL (RM-1116)",28,"",""
"238","Areas with Zika | Zika virus | CDC","MetroPCS Stylo 2 Plus (MS550)",28,"",""
"239","Areas with Zika | Zika virus | CDC","Huawei Honor 8 (FRD-L09)",27,"",""
"240","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 Mini (SGH-I257)",27,"",""
"241","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab 4 8.0 (SM-T330NU)",27,"",""
"242","Areas with Zika | Zika virus | CDC","Nokia Lumia 635 (RM-974)",27,"",""
"243","Areas with Zika | Zika virus | CDC","Xiaomi Redmi Note 3",27,"",""
"244","Areas with Zika | Zika virus | CDC","LG K7 4G (K330)",27,"",""
"245","Areas with Zika | Zika virus | CDC","Motorola Moto G 2nd Gen (XT1064)",27,"",""
"246","Areas with Zika | Zika virus | CDC","LG K10 (MS428)",27,"",""
"247","Areas with Zika | Zika virus | CDC","OnePlus One (E1003)",26,"",""
"248","Areas with Zika | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G360T)",26,"",""
"249","Areas with Zika | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-G530T1)",26,"",""
"250","Areas with Zika | Zika virus | CDC","Xiaomi Redmi 3s",26,"",""
"251","Areas with Zika | Zika virus | CDC","Microsoft Lumia 650 (RM-1152)",26,"",""
"252","Areas with Zika | Zika virus | CDC","Sprint One M9 (0PJA2)",26,"",""
"253","Areas with Zika | Zika virus | CDC","T-Mobile G Stylo (H631)",25,"",""
"254","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 (SGH-M919V)",25,"",""
"255","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note Edge (SM-N915V)",25,"",""
"256","Areas with Zika | Zika virus | CDC","Sony Xperia M2 (D2303)",25,"",""
"257","Areas with Zika | Zika virus | CDC","Samsung Galaxy S7 Edge (SM-G935U)",25,"",""
"258","Areas with Zika | Zika virus | CDC","Google Nexus 10",25,"",""
"259","Areas with Zika | Zika virus | CDC","Samsung Galaxy S3 LTE (SPH-L710)",24,"",""
"260","Areas with Zika | Zika virus | CDC","Samsung Galaxy J3 (2016) (SM-J320W8)",24,"",""
"261","Areas with Zika | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G360T1)",24,"",""
"262","Areas with Zika | Zika virus | CDC","Sprint Moto G (XT1031)",24,"",""
"263","Areas with Zika | Zika virus | CDC","AT&T Galaxy Tab 4 8.0 (SM-T337A)",23,"",""
"264","Areas with Zika | Zika virus | CDC","Google Pixel C",23,"",""
"265","Areas with Zika | Zika virus | CDC","US Cellular Galaxy S4 (SCH-R970)",23,"",""
"266","Areas with Zika | Zika virus | CDC","LG G Stylo (LS770)",23,"",""
"267","Areas with Zika | Zika virus | CDC","Sprint G3 (LS990)",23,"",""
"268","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab E 9.6 (SM-T560)",23,"",""
"269","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N9208)",22,"",""
"270","Areas with Zika | Zika virus | CDC","Motorola Moto X (XT1058)",22,"",""
"271","Areas with Zika | Zika virus | CDC","T-Mobile K10 (K428)",22,"",""
"272","Areas with Zika | Zika virus | CDC","LG Stylus 2 (LS775)",22,"",""
"273","Areas with Zika | Zika virus | CDC","Sony Xperia Z3 Compact (D5833)",22,"",""
"274","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920C)",22,"",""
"275","Areas with Zika | Zika virus | CDC","LG Optimus L90 (D415)",22,"",""
"276","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab Pro 12.2 (SM-T900)",22,"",""
"277","Areas with Zika | Zika virus | CDC","Motorola Moto X 2nd Gen (XT1097)",22,"",""
"278","Areas with Zika | Zika virus | CDC","Amazon Kindle Fire HD 7 (3rd Gen)",22,"",""
"279","Areas with Zika | Zika virus | CDC","Vodafone Smart Ultra 6",22,"",""
"280","Areas with Zika | Zika virus | CDC","Straight Talk Galaxy Sky (SM-S320VL)",21,"",""
"281","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 Active (SM-G850W)",21,"",""
"282","Areas with Zika | Zika virus | CDC","Eken T03A",21,"",""
"283","Areas with Zika | Zika virus | CDC","Alcatel One Touch Idol 3 (6045O)",21,"",""
"284","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note (GT-N8013)",21,"",""
"285","Areas with Zika | Zika virus | CDC","Huawei P9 Lite (VNS-L21)",21,"",""
"286","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note Edge (SM-N915W8)",21,"",""
"287","Areas with Zika | Zika virus | CDC","LG Tribute HD (LS676)",21,"",""
"288","Areas with Zika | Zika virus | CDC","Nokia Lumia 830",20,"",""
"289","Areas with Zika | Zika virus | CDC","Sprint Moto E 2nd Gen (XT1526)",20,"",""
"290","Areas with Zika | Zika virus | CDC","Samsung Galaxy S4 (SM-S975L)",20,"",""
"291","Areas with Zika | Zika virus | CDC","US Cellular Galaxy S7 edge (SM-G935R4)",20,"",""
"292","Areas with Zika | Zika virus | CDC","LG G Pad 7.0 (V410)",20,"",""
"293","Areas with Zika | Zika virus | CDC","Sprint One A9 (2PQ93)",20,"",""
"294","Areas with Zika | Zika virus | CDC","Samsung Galaxy J5 (SM-J500M)",20,"",""
"295","Areas with Zika | Zika virus | CDC","Huawei Honor 6 (H60-L04)",20,"",""
"296","Areas with Zika | Zika virus | CDC","Samsung Galaxy Note 2 (SGH-I317M)",20,"",""
"297","Areas with Zika | Zika virus | CDC","Nvidia Shield Tablet K1",20,"",""
"298","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 (SM-G900H)",20,"",""
"299","Areas with Zika | Zika virus | CDC","Samsung Galaxy Tab E 8.0 (SM-T377V)",19,"",""
