# ----------------------------------------
# HHS Agency Profile
# Pages
# 20170107-20170206
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
cdc.gov/norovirus/about/transmission.html,"147,009","121,328",00:01:42,"31,485",56.91%,38.65%,$0.00
cdc.gov/std/syphilis/stdfact-syphilis.htm,"143,568","128,128",00:04:01,"110,620",77.88%,72.17%,$0.00
cdc.gov/std/spanish/sifilis/stdfact-syphilis-s.htm,"142,377","127,083",00:05:45,"116,462",82.60%,79.97%,$0.00
cdc.gov/zika/intheus/florida-update.html,"139,480","110,748",00:01:42,"57,178",55.60%,42.81%,$0.00
cdc.gov/flu/index.htm,"138,156","114,614",00:00:49,"22,434",36.86%,24.60%,$0.00
cdc.gov/flu/index.html,"138,098","113,407",00:01:20,"95,125",49.52%,46.27%,$0.00
cdc.gov/flu/about/season/current.htm,"130,519","104,609",00:00:50,"47,438",27.52%,27.94%,$0.00
cdc.gov/vaccines/hcp/vis/index.html,"128,445","103,945",00:00:29,"56,468",23.52%,23.37%,$0.00
cdc.gov/vaccines/schedules/index.html,"126,535","100,122",00:00:28,"74,850",16.85%,18.03%,$0.00
cdc.gov/zika/intheus/maps-zika-us.html,"125,121","106,342",00:01:54,"31,626",58.14%,45.42%,$0.00
cdc.gov/std/spanish/herpes/stdfact-herpes-s.htm,"124,199","112,846",00:06:27,"104,617",87.57%,84.91%,$0.00
cdc.gov/drugoverdose/index.html,"121,086","105,110",00:02:44,"99,931",85.10%,79.09%,$0.00
cdc.gov/healthyweight/assessing/bmi/index.html,"118,103","91,096",00:00:33,"80,986",30.10%,31.82%,$0.00
cdc.gov/std/spanish/gonorrea/stdfact-gonorrhea-s.htm,"117,510","106,760",00:05:51,"94,691",83.18%,80.22%,$0.00
cdc.gov/ncbddd/actearly/milestones/index.html,"114,955","73,921",00:00:47,"55,243",21.95%,24.20%,$0.00
cdc.gov/diseasesconditions/index.html,"114,867","85,070",00:00:49,"43,605",38.26%,25.14%,$0.00
cdc.gov/norovirus/about/treatment.html,"111,239","98,240",00:01:06,"14,214",67.45%,42.84%,$0.00
cdc.gov/hepatitis/hcv/cfaq.htm,"110,243","101,188",00:05:39,"95,157",87.57%,85.43%,$0.00
cdc.gov/flu/consumer/symptoms.htm,"110,095","99,929",00:02:50,"72,375",73.76%,67.93%,$0.00
cdc.gov/meningitis/bacterial.html,"106,972","96,911",00:04:18,"77,393",85.42%,78.54%,$0.00
cdc.gov/vaccines/schedules/hcp/child-adolescent.html,"102,852","79,323",00:01:14,"27,511",22.04%,31.46%,$0.00
cdc.gov/meningitis/index.html,"98,050","85,405",00:02:07,"77,753",69.77%,64.04%,$0.00
cdc.gov/std/bv/stdfact-bacterial-vaginosis.htm,"97,890","89,478",00:03:24,"76,948",82.13%,75.81%,$0.00
cdc.gov/nchs/fastats/leading-causes-of-death.htm,"96,331","82,181",00:03:09,"72,368",67.89%,67.25%,$0.00
cdc.gov/norovirus/preventing-infection.html,"94,792","82,766",00:02:43,"16,310",67.95%,52.81%,$0.00
cdc.gov/zika/about/index.html,"94,051","71,318",00:01:13,"26,244",34.78%,21.41%,$0.00
cdc.gov/zika/pregnancy/women-and-their-partners.html,"93,535","80,328",00:02:36,"44,510",68.19%,59.94%,$0.00
cdc.gov/flu/protect/keyfacts.htm,"92,833","83,225",00:03:13,"65,704",70.18%,63.92%,$0.00
cdc.gov/nhsn/index.html,"92,674","81,268",00:02:39,"70,507",51.35%,63.33%,$0.00
cdc.gov/lyme/index.html,"92,632","73,293",00:01:24,"66,876",47.43%,44.99%,$0.00
cdc.gov/vaccines/ed/youcalltheshots.html,"92,100","44,970",00:04:23,"22,672",14.42%,38.66%,$0.00
cdc.gov/flu/weekly/index.htm,"91,629","78,030",00:03:43,"29,818",60.74%,63.68%,$0.00
cdc.gov/std/spanish/vph/stdfact-hpv-and-men-s.htm,"91,504","84,667",00:06:16,"80,689",88.72%,87.89%,$0.00
phil.cdc.gov/phil/quicksearch.asp,"90,902","9,548",00:00:19,891,29.05%,4.53%,$0.00
cdc.gov/rsv/index.html,"90,838","77,351",00:01:08,"73,615",51.41%,52.58%,$0.00
auth.cdc.gov/siteminderagent/forms/login.fcc?type=33554433&realmoid=06-2e4e428f-8768-4f65-a66d-911e49413d9e&guid=&smauthreason=0&method=get&smagentname=-sm-gmb5ayj8jxq+rwo0tsuflfp+gx0dts0wlfomnlhk+a09v/qvjsytgye9vlvkqcrt&target=-sm-https://sams.cdc.gov/,"87,942","73,663",00:00:57,"65,727",30.82%,31.30%,$0.00
cdc.gov/tobacco/data_statistics/fact_sheets/health_effects/effects_cig_smoking/index.html,"86,926","74,048",00:05:36,"70,365",80.63%,78.14%,$0.00
cdc.gov/std/spanish/vph/stdfact-hpv-s.htm,"86,332","77,656",00:06:16,"72,933",84.35%,82.68%,$0.00
cdc.gov/std/hpv/stdfact-hpv-and-men.htm,"84,651","78,288",00:04:49,"66,346",82.83%,78.96%,$0.00
cdc.gov/std/pid/stdfact-pid.htm,"84,468","78,357",00:04:05,"68,231",85.51%,80.52%,$0.00
espanol.cdc.gov/enes/flu/about/disease/complications.htm?mobile=nocontent,"83,910","77,467",00:03:49,"76,148",67.96%,67.43%,$0.00
cdc.gov/vaccines/schedules/easy-to-read/child.html,"82,995","73,697",00:02:50,"29,292",27.59%,58.76%,$0.00
cdc.gov/zika/symptoms/index.html,"81,965","65,906",00:00:39,"27,661",33.53%,21.52%,$0.00
cdc.gov/features/norovirus/index.html,"80,689","74,954",00:03:54,"63,331",82.20%,77.45%,$0.00
cdc.gov/spanish/especialescdc/sintomastuberculosis/index.html,"79,340","70,836",00:05:04,"68,112",80.97%,78.81%,$0.00
cdc.gov/hpv/parents/whatishpv.html,"79,005","69,948",00:02:52,"50,640",71.60%,63.07%,$0.00
cdc.gov/std/herpes/stdfact-herpes-detailed.htm,"78,979","73,597",00:06:25,"63,185",88.59%,85.01%,$0.00
cdc.gov/zika/symptoms/symptoms.html,"78,824","70,929",00:02:19,"38,587",68.63%,56.67%,$0.00
search.cdc.gov/search?subset=&utf8=✓&affiliate=cdc-main&sitelimit=,"77,462","67,839",00:01:34,"65,162",8.75%,64.09%,$0.00
cdc.gov/zika/pregnancy/index.html,"77,364","63,922",00:01:00,"23,686",31.52%,21.79%,$0.00
cdc.gov/flu/keyfacts.htm,"76,973","67,708",00:02:52,"49,076",68.58%,58.70%,$0.00
cdc.gov/hand-foot-mouth/index.html,"76,700","63,147",00:01:06,"60,382",45.76%,50.31%,$0.00
cdc.gov/mumps/index.html,"76,275","61,330",00:00:52,"56,981",35.28%,38.65%,$0.00
cdc.gov/flu/about/disease/index.htm,"75,553","57,883",00:00:41,"4,121",43.25%,13.12%,$0.00
cdc.gov/vaccines/hcp/vis/vis-statements/tdap.html,"75,318","70,400",00:03:39,"48,711",70.29%,75.76%,$0.00
cdc.gov/reproductivehealth/data_stats/abortion.htm,"74,512","64,073",00:02:38,"52,809",72.80%,69.62%,$0.00
espanol.cdc.gov/enes/flu/takingcare.htm?mobile=nocontent,"74,457","68,119",00:03:44,"67,184",72.17%,71.22%,$0.00
cdc.gov/parasites/lice/head/treatment.html,"71,024","65,487",00:05:14,"55,007",89.75%,83.59%,$0.00
cdc.gov/flu/weekly/fluactivitysurv.htm,"68,590","51,202",00:00:29,"25,780",12.07%,13.15%,$0.00
cdc.gov/features/strepthroat/index.html,"68,010","64,741",00:04:44,"63,280",91.62%,90.51%,$0.00
cdc.gov/co/faqs.htm,"66,467","62,342",00:05:17,"61,513",91.99%,91.07%,$0.00
cdc.gov/vaccines/schedules/hcp/adult.html,"66,063","46,396",00:01:12,"14,571",25.60%,27.57%,$0.00
cdc.gov/zika/intheus/florida-maps.html,"65,983","55,554",00:01:30,"8,725",58.27%,40.57%,$0.00
cdc.gov/std/spanish/tricomoniasis/stdfact-trichomoniasis-s.htm,"65,773","59,770",00:06:06,"54,865",86.81%,84.63%,$0.00
cdc.gov/zika/geo/united-states.html,"64,797","55,246",00:01:57,"24,080",57.67%,41.03%,$0.00
gettested.cdc.gov/index.html,"63,715","48,175",00:00:42,"44,429",22.96%,29.22%,$0.00
cdc.gov/epstein-barr/about-ebv.html,"63,584","58,248",00:03:30,"52,161",84.70%,80.51%,$0.00
cdc.gov/hpv/parents/vaccine.html,"63,285","56,338",00:02:45,"45,585",67.11%,63.23%,$0.00
gettested.cdc.gov/search_results,"62,789","39,595",00:01:28,"12,978",52.33%,33.71%,$0.00
cdc.gov/tb/publications/factsheets/testing/skintesting.htm,"62,293","57,266",00:04:47,"53,323",82.51%,81.67%,$0.00
cdc.gov/hand-foot-mouth/about/index.html,"61,839","37,980",00:00:17,"8,172",28.70%,12.70%,$0.00
cdc.gov/reproductivehealth/data_stats/index.html,"61,821","51,014",00:02:05,"44,991",63.58%,61.05%,$0.00
cdc.gov/motorvehiclesafety/child_passenger_safety/cps-factsheet.html,"60,796","54,855",00:02:14,"53,639",87.59%,86.47%,$0.00
cdc.gov/meningitis/viral.html,"60,267","53,833",00:03:17,"42,714",81.08%,72.78%,$0.00
cdc.gov/healthyweight/assessing/bmi/adult_bmi/index.html,"59,575","53,067",00:02:11,"33,686",80.90%,68.77%,$0.00
cdc.gov/growthcharts/who_charts.htm,"58,699","48,123",00:02:51,"31,968",33.96%,60.57%,$0.00
cdc.gov/lyme/signs_symptoms/index.html,"58,455","50,179",00:02:10,"24,088",73.40%,53.96%,$0.00
cdc.gov/flu/about/qa/coldflu.htm,"58,142","52,647",00:01:56,"46,296",72.28%,68.43%,$0.00
cdc.gov/flu/about/disease/spread.htm,"58,134","53,021",00:02:48,"35,124",76.47%,62.65%,$0.00
cdc.gov/features/tbsymptoms/index.html,"57,650","51,778",00:04:10,"49,374",79.80%,77.47%,$0.00
cdc.gov/rotavirus/index.html,"57,524","46,370",00:00:45,"42,231",31.86%,37.35%,$0.00
cdc.gov/std/spanish/clamidia/stdfact-chlamydia-s.htm,"57,428","52,780",00:05:18,"45,441",85.30%,79.97%,$0.00
cdc.gov/flu/antivirals/index.htm,"57,045","46,499",00:00:59,"3,191",56.91%,28.02%,$0.00
nccd.cdc.gov/dnpabmi/calculator.aspx?calculatortype=metric,"56,411","20,892",00:00:54,"7,854",18.84%,8.64%,$0.00
jobs.cdc.gov/index.html,"56,275","42,731",00:00:46,"30,713",18.77%,22.07%,$0.00
cdc.gov/growthcharts/clinical_charts.htm,"56,053","45,528",00:03:41,"16,768",45.09%,59.08%,$0.00
cdc.gov/std/spanish/vb/stdfact-bacterial-vaginosis-s.htm,"55,872","50,637",00:04:55,"48,324",86.53%,84.50%,$0.00
cdc.gov/spanish/especialescdc/escarlatina/index.html,"55,570","52,308",00:06:44,"51,912",94.05%,93.23%,$0.00
cdc.gov/nchs/fastats/deaths.htm,"55,404","46,849",00:02:39,"35,015",60.02%,59.34%,$0.00
cdc.gov/salmonella/index.html,"55,195","40,582",00:01:19,"31,260",38.23%,34.41%,$0.00
cdc.gov/growthcharts/index.html,"55,098","44,324",00:00:30,"39,080",23.09%,28.80%,$0.00
cdc.gov/mumps/about/index.html,"54,800","35,177",00:00:13,"4,106",30.22%,9.42%,$0.00
cdc.gov/adenovirus/about/symptoms.html,"54,797","41,290",00:01:01,"29,857",58.50%,49.69%,$0.00
cdc.gov/std/index.html,"54,664","43,493",00:01:09,"23,153",46.65%,33.64%,$0.00
cdc.gov/vaccines/hcp/vis/vis-statements/hep-b.html,"54,579","50,280",00:03:16,"33,732",62.53%,67.27%,$0.00
cdc.gov/flu/about/viruses/types.htm,"54,575","49,608",00:02:59,"40,438",68.06%,64.15%,$0.00
cdc.gov/shingles/about/transmission.html,"54,545","46,513",00:02:28,"35,515",78.10%,65.62%,$0.00
cdc.gov/flu/about/qa/vaccineeffect.htm,"53,447","48,440",00:03:09,"31,373",74.06%,65.55%,$0.00
cdc.gov/spanish/cancer/breast/basic_info/symptoms.htm,"53,248","46,286",00:03:23,"45,660",78.19%,80.54%,$0.00
cdc.gov/mmwr/index.html,"52,943","41,476",00:01:10,"22,374",44.20%,33.64%,$0.00
cdc.gov/vaccines/vac-gen/side-effects.htm,"52,634","48,181",00:03:34,"36,199",81.56%,72.40%,$0.00
cdc.gov/obesity/data/adult.html,"52,456","40,474",00:03:17,"27,639",52.31%,49.50%,$0.00
cdc.gov/vaccines/schedules/hcp/imz/adult.html,"50,575","45,374",00:03:24,"23,255",75.90%,66.84%,$0.00
cdc.gov/datastatistics/index.html,"50,183","37,017",00:00:55,"11,761",36.75%,25.58%,$0.00
cdc.gov/rotavirus/about/symptoms.html,"49,013","42,743",00:01:37,"20,450",70.35%,50.75%,$0.00
search.cdc.gov/search?subset=niosh&utf8=✓&affiliate=cdc-main&sitelimit=www.cdc.gov/niosh+|+blogs.cdc.gov/niosh-science-blog/,"48,724","42,367",00:01:25,"40,519",16.19%,62.89%,$0.00
cdc.gov/vaccines/vpd/shingles/public/index.html,"48,678","44,919",00:04:42,"40,008",81.06%,81.55%,$0.00
auth.cdc.gov/entrustidentityguard/authenticate/login?type=33554432&realmoid=06-ea6e81f5-e1f2-4c33-8ca7-146d7d1d7947&guid=&smauthreason=0&method=get&smagentname=-sm-gmb5ayj8jxq+rwo0tsuflfp+gx0dts0wlfomnlhk+a09v/qvjsytgye9vlvkqcrt&target=-sm-https://sams.cdc.gov/gridgateway/index.asp?https://sams.cdc.gov/,"48,431","45,007",00:00:40,"2,962",6.60%,2.73%,$0.00
search.cdc.gov/search?subset=nchs&utf8=✓&affiliate=cdc-main&sitelimit=www.cdc.gov/nchs/,"47,965","39,188",00:01:26,"37,840",18.28%,53.96%,$0.00
cdc.gov/violenceprevention/acestudy/index.html,"47,932","33,640",00:01:02,"31,031",36.06%,35.37%,$0.00
cdc.gov/vaccines/hcp/vis/vis-statements/flu.html,"47,854","43,900",00:03:04,"17,761",25.67%,69.72%,$0.00
cdc.gov/ecoli/index.html,"47,821","37,223",00:01:35,"30,656",54.19%,46.66%,$0.00
cdc.gov/hiv/basics/transmission.html,"47,285","40,846",00:04:06,"31,967",79.87%,67.97%,$0.00
cdc.gov/nchs/index.html,"47,161","36,418",00:01:09,"29,122",42.26%,39.85%,$0.00
cdc.gov/rsv/about/index.html,"47,004","32,387",00:00:14,"2,949",40.81%,9.47%,$0.00
cdc.gov/mumps/about/signs-symptoms.html,"46,720","41,133",00:01:30,"14,739",73.19%,46.07%,$0.00
cdc.gov/listeria/index.html,"46,554","32,593",00:00:57,"27,142",28.00%,27.66%,$0.00
search.cdc.gov/search?utf8=✓&affiliate=cdc-main&commit=search,"46,545","33,988",00:01:25,859,33.26%,40.27%,$0.00
cdc.gov/poxvirus/molluscum-contagiosum/index.html,"46,475","31,163",00:00:54,"29,718",33.57%,34.33%,$0.00
cdc.gov/mrsa/index.html,"46,256","35,084",00:01:17,"27,795",53.03%,44.21%,$0.00
cdc.gov/cmv/index.html,"46,183","37,604",00:00:51,"34,614",31.88%,36.27%,$0.00
cdc.gov/spanish/especialescdc/conjuntivitis/index.html,"46,147","41,972",00:03:38,"41,009",85.22%,84.62%,$0.00
cdc.gov/pertussis/index.html,"45,767","38,799",00:01:23,"33,829",45.98%,43.79%,$0.00
cdc.gov/malaria/index.html,"45,761","37,244",00:01:44,"29,045",40.77%,38.32%,$0.00
cdc.gov/diseasesconditions/az/a.html,"45,591","33,002",00:00:57,"25,508",33.13%,30.09%,$0.00
cdc.gov/healthyschools/obesity/facts.htm,"45,233","37,714",00:04:32,"33,084",70.57%,66.21%,$0.00
cdc.gov/parasites/scabies/gen_info/faqs.html,"45,122","40,680",00:05:29,"37,122",88.12%,83.68%,$0.00
cdc.gov/flu/antivirals/whatyoushould.htm,"44,895","41,980",00:03:44,"19,056",83.87%,68.07%,$0.00
cdc.gov/flu/professionals/acip/clinical.htm,"44,640","42,161",00:04:21,"36,340",82.58%,79.16%,$0.00
cdc.gov/vaccinesafety/concerns/autism.html,"44,497","38,012",00:05:17,"33,949",76.08%,75.23%,$0.00
cdc.gov/hpv/parents/questions-answers.html,"44,262","40,806",00:03:40,"20,013",80.13%,66.86%,$0.00
cdc.gov/tobacco/campaign/tips/quit-smoking/index.html,"44,043","36,739",00:01:14,"35,856",64.25%,66.64%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-2yr.html,"43,970","39,104",00:03:14,"23,578",71.98%,60.79%,$0.00
cdc.gov/niosh/index.html,"43,745","35,555",00:01:26,"27,642",58.69%,49.83%,$0.00
cdc.gov/vaccines/vpd/pneumo/index.html,"43,489","35,682",00:01:24,"24,290",45.02%,39.29%,$0.00
cdc.gov/vaccines/ed/youcalltheshots.htm,"42,913","20,200",00:00:17,"14,126",3.26%,3.17%,$0.00
cdc.gov/std/chlamydia/stdfact-chlamydia-detailed.htm,"42,332","39,504",00:05:52,"30,207",86.27%,80.45%,$0.00
search.cdc.gov/search?subset=&utf8=✓&affiliate=cdc-main,"41,906","37,918",00:01:34,"35,234",6.70%,68.80%,$0.00
cdc.gov/features/conjunctivitis/index.html,"41,700","38,967",00:03:04,"36,983",84.59%,83.10%,$0.00
cdc.gov/heartdisease/facts.htm,"41,439","34,322",00:03:37,"26,464",67.26%,60.55%,$0.00
cdc.gov/std/chlamydia/default.htm,"41,374","29,907",00:00:35,"3,924",35.77%,17.28%,$0.00
cdc.gov/tb/index.html,"41,244","32,199",00:00:53,"24,177",26.60%,25.48%,$0.00
cdc.gov/ncbddd/blooddisorders/women/menorrhagia.html,"40,713","38,588",00:07:06,"38,443",91.01%,93.10%,$0.00
cdc.gov/zika/prevention/index.html,"40,651","33,525",00:01:12,"13,950",46.13%,28.07%,$0.00
cdc.gov/flu/weekly/summary.htm,"40,638","37,263",00:01:35,"19,530",55.23%,44.73%,$0.00
cdc.gov/rotavirus/about/index.html,"40,279","25,047",00:00:11,"1,876",38.35%,7.77%,$0.00
cdc.gov/growthcharts/cdc_charts.htm,"40,229","31,634",00:00:28,"7,935",18.69%,17.13%,$0.00
cdc.gov/tb/topic/basics/default.htm,"40,225","25,163",00:00:47,"3,498",32.86%,11.95%,$0.00
cdc.gov/hiv/basics/prep.html,"39,871","36,642",00:04:37,"32,065",79.97%,80.27%,$0.00
cdc.gov/nchs/icd/icd10cm.htm,"39,759","27,490",00:03:01,"24,524",51.47%,63.84%,$0.00
cdc.gov/mmwr/volumes/65/rr/rr6501e1.htm,"39,282","32,970",00:04:20,"22,149",75.65%,69.22%,$0.00
cdc.gov/chikungunya/symptoms/index.html,"38,981","34,354",00:03:19,"27,793",79.32%,71.81%,$0.00
cdc.gov/vaccines/hcp/vis/vis-statements/mmr.html,"38,894","36,133",00:03:18,"23,750",68.40%,66.82%,$0.00
cdc.gov/hepatitis/hbv/bfaq.htm,"38,566","34,011",00:04:53,"25,948",80.88%,73.59%,$0.00
cdc.gov/other/plugins/index.html,"38,176","33,703",00:00:45,"4,727",61.75%,23.40%,$0.00
cdc.gov/flu/avianflu/influenza-a-virus-subtypes.htm,"38,169","34,718",00:02:46,"31,603",70.24%,67.86%,$0.00
cdc.gov/healthyweight/assessing/bmi/childrens_bmi/about_childrens_bmi.html,"37,872","32,580",00:01:52,"24,335",43.29%,52.70%,$0.00
cdc.gov/parvovirusb19/fifth-disease.html,"37,738","34,129",00:03:36,"29,679",83.02%,78.85%,$0.00
cdc.gov/malaria/travelers/drugs.html,"37,412","32,614",00:03:01,"28,441",71.91%,68.11%,$0.00
cdc.gov/vaccinesafety/vaccines/mmr-vaccine.html,"37,407","33,339",00:03:08,"28,829",67.74%,66.19%,$0.00
cdc.gov/concussion/headsup/training/index.html,"37,328","33,339",00:06:22,"19,221",84.78%,82.32%,$0.00
cdc.gov/pertussis/about/signs-symptoms.html,"37,171","33,188",00:03:17,"21,789",76.42%,62.21%,$0.00
cdc.gov/healthyweight/assessing/bmi/adult_bmi/metric_bmi_calculator/bmi_calculator.html,"36,979","19,553",00:01:24,"4,676",58.45%,33.59%,$0.00
cdc.gov/rsv/about/transmission.html,"36,822","33,443",00:02:34,"18,845",83.45%,66.22%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-6mo.html,"36,587","32,531",00:02:43,"17,922",77.37%,58.53%,$0.00
cdc.gov/parasites/lice/head/gen_info/faqs.html,"36,522","32,866",00:04:36,"28,576",68.10%,74.98%,$0.00
cdc.gov/flu/about/qa/misconceptions.htm,"36,469","34,352",00:04:18,"27,776",82.81%,78.08%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-3yr.html,"36,464","32,318",00:03:18,"18,793",71.17%,60.13%,$0.00
cdc.gov/vaccines/hcp/vis/vis-statements/pcv13.html,"35,965","33,153",00:02:35,"16,251",48.38%,61.27%,$0.00
cdc.gov/handwashing/when-how-handwashing.html,"35,887","30,446",00:02:44,"19,378",78.47%,61.42%,$0.00
cdc.gov/importation/bringing-an-animal-into-the-united-states/dogs.html,"35,756","28,300",00:02:59,"23,974",56.82%,60.65%,$0.00
cdc.gov/zika/transmission/index.html,"35,611","30,855",00:02:47,"10,226",59.83%,37.80%,$0.00
cdc.gov/cmv/overview.html,"35,342","31,577",00:02:37,"10,770",79.78%,62.93%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-4mo.html,"35,213","31,479",00:02:41,"17,541",78.53%,57.14%,$0.00
cdc.gov/std/chlamydia/treatment.htm,"35,185","30,862",00:01:36,"21,819",53.28%,47.10%,$0.00
cdc.gov/outbreaks/index.html,"35,149","27,172",00:01:18,"15,389",46.73%,40.25%,$0.00
cdc.gov/obesity/index.html,"35,099","26,057",00:00:51,"12,821",30.81%,21.88%,$0.00
cdc.gov/std/syphilis/stdfact-syphilis-detailed.htm,"35,077","32,055",00:05:33,"25,480",82.74%,76.99%,$0.00
cdc.gov/spanish/especialescdc/enfermedadmanospiesboca/index.html,"35,033","32,427",00:06:03,"32,047",91.71%,90.72%,$0.00
cdc.gov/fungal/diseases/index.html,"34,847","26,619",00:01:59,"20,596",68.26%,53.21%,$0.00
cdc.gov/leptospirosis/index.html,"34,750","23,102",00:00:56,"19,900",38.46%,34.37%,$0.00
cdc.gov/yellowfever/index.html,"34,739","25,955",00:01:39,"21,292",42.06%,37.71%,$0.00
cdc.gov/hepatitis/hbv/hbvfaq.htm,"34,389","29,074",00:03:48,"16,765",73.99%,62.76%,$0.00
cdc.gov/hpv/index.html,"34,384","27,743",00:01:01,"12,120",34.83%,31.54%,$0.00
cdc.gov/hepatitis/hav/afaq.htm,"34,161","30,538",00:04:43,"25,253",79.32%,75.22%,$0.00
cdc.gov/chickenpox/about/prevention-treatment.html,"33,751","29,034",00:03:09,"21,851",75.31%,65.86%,$0.00
cdc.gov/zika/symptoms/diagnosis.html,"33,549","29,804",00:02:38,"12,412",54.18%,46.42%,$0.00
cdc.gov/std/tg2015/chlamydia.htm,"33,510","30,817",00:03:52,"15,010",81.52%,70.63%,$0.00
cdc.gov/zika/about/overview.html,"33,459","28,265",00:02:46,"3,377",65.99%,35.32%,$0.00
cdc.gov/vaccines/parents/index.html,"33,273","26,771",00:00:48,"3,604",43.75%,20.97%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-2mo.html,"33,185","28,658",00:02:22,"11,516",70.32%,42.84%,$0.00
espanol.cdc.gov/enes/flu/about/disease/complications.htm,"33,173","28,320",00:03:13,"9,484",64.34%,56.44%,$0.00
cdc.gov/std/herpes/default.htm,"33,137","23,881",00:00:36,"2,962",36.44%,18.99%,$0.00
cdc.gov/teenpregnancy/about/index.html,"33,077","28,668",00:05:45,"27,457",80.03%,78.21%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-1yr.html,"32,921","29,000",00:02:58,"14,511",72.91%,54.93%,$0.00
cdc.gov/ncbddd/actearly/milestones/milestones-18mo.html,"32,753","29,288",00:02:47,"16,546",75.74%,59.73%,$0.00
cdc.gov/physicalactivity/basics/adults/index.htm,"32,746","26,340",00:03:40,"17,932",72.85%,58.27%,$0.00
cdc.gov/flu/professionals/antivirals/summary-clinicians.htm,"32,600","28,358",00:03:39,"19,832",72.01%,68.97%,$0.00
cdc.gov/vaccines/schedules/hcp/imz/catchup.html,"32,545","27,003",00:03:27,"16,106",73.64%,63.99%,$0.00
cdc.gov/rsv/about/symptoms.html,"32,068","28,846",00:01:30,"6,442",85.68%,47.14%,$0.00
cdc.gov/headsup/youthsports/training/index.html,"32,036","25,306",00:01:30,"14,973",39.91%,32.75%,$0.00
cdc.gov/obesity/adult/defining.html,"31,914","26,402",00:02:07,"22,460",68.21%,60.80%,$0.00
cdc.gov/hiv/index.html,"31,336","23,686",00:01:02,"11,723",34.73%,26.82%,$0.00
